action_TFC,action_TFU,action_TNC,action_greedy,action_DFC,action_DFU,action_DNC,action_DNU,action_retreat
0.0,14.85,-8.35875,1.9612500000000002,0.0,0.0,0.0,1.5,-7.5
47.34375,4.358146019531253,-26.8298728125,29.242312500000004,48.86788198242188,6.569273437499999,-12.615375,5.046232619970706,-31.5010934765625
59.12138934067382,54.6030101083163,-37.03014696796028,7.009886583178712,93.81180890612421,11.744299433302446,-4.241178805428969,14.096387574018818,-48.93164964432769
67.396509207809,66.70292685840977,-54.60550047570899,24.999777322866933,93.15189391670104,48.6887985546114,-12.729067751256734,63.027891349044424,-49.46820650975682
104.00309365049587,74.53088189137233,-62.39745371329186,16.74773535096385,128.421062262593,45.40832739917008,-2.2094819414518696,60.75646330585225,-51.97550221386352
80.24219791771306,91.84547051951353,-74.30489547316385,23.694899048818836,138.77949755748662,90.32834268817804,56.875876027616215,80.66367675304602,-32.449789128248206
81.14108687024604,117.74648039365981,-75.29564542822347,26.790062882725188,132.61019977227812,94.27479901058157,67.42655642872573,119.11079861772545,-38.29269682366301
77.24855071411778,123.32387964814981,-85.28313663430188,60.54830606028159,171.53564059211743,93.47779981233063,88.43833265177287,138.57115487985163,-58.64147666012556
71.4522520888577,176.9993074449634,-89.84952271529613,61.4098796040121,202.1795542116467,93.4266157918267,148.37493319195497,162.8765257873811,-79.3362385933384
78.32098997207305,187.22507785805766,-65.51628720000312,82.19804292905451,217.99463885255034,95.66600351216182,165.5754662574568,179.38797026863847,-80.73574457541156
78.74643510793808,242.9632751054097,-55.84492960915178,127.72409619485282,217.08801028148542,102.84855460229679,166.66545357920884,205.57086924472662,-76.65004050538597
80.48068812644627,301.19270780889383,-46.35300257973576,172.73456544033323,235.03636751188756,138.76783316151204,193.39091010554327,206.17454241316042,-70.30328067726307
105.71573535782117,327.940653129056,-41.73732190460816,197.9244863966942,235.61482946022207,139.48811004302166,208.54864283120838,214.7241228115828,-64.15754585915653
112.41901438461866,348.27588612355163,-37.39672695925159,215.3647037430101,271.2928203341875,182.71647364277635,230.97069625666387,260.91698266154015,-64.67393117326944
105.89948744484116,356.3725317507758,-21.683201729697576,219.46708546074427,297.38387623099965,183.41666743856084,231.68208724669904,309.99649730389507,-68.47447544264304
125.87363738261244,356.68708514074046,-16.217828153597377,216.5839759093737,308.60601831699853,177.8104873411773,253.3301214397136,301.9906531383673,-56.47734357951402
129.20638298688192,386.2990981093468,-18.03937085212261,217.14169695673297,317.54202094064647,202.31840501711173,273.35849172944137,302.0416736283481,-26.72944063704972
118.35076886130653,414.9372285384764,9.435120641983842,223.6091696306589,302.9843740378813,199.65035770112036,295.116065792523,304.05929828403447,-19.793698895942732
108.97277561144683,414.4696783961566,23.206393166654557,269.48939552600217,301.6432043428228,201.508271071255,276.5898676780454,337.33421200822795,-12.301133164294278
113.06051602166347,390.01754796607645,31.877571847548964,282.32189902762116,343.57294064009045,208.15075318645606,285.2711398277823,358.2906230716143,-12.301133164294278
113.9660382888677,404.16136873021696,31.487226849074553,288.1835832942062,337.71299881783995,214.94665587652233,295.96463211787847,370.65800409119663,-8.04168530389552
115.77263864364261,447.3404064288088,21.45009736847239,325.6784787268708,361.6048036953689,231.2167808934678,295.0805293078066,367.2179334487172,6.223412421857425
130.82860023901256,453.8195486752578,35.352839928434506,336.60498508843375,404.9309934741777,238.34789123071266,311.41458071948705,402.54871937937605,1.2362440544605846
120.87711911588707,480.11665893255383,40.696322544559266,356.8702571114918,400.60751061766746,238.39144309074595,323.75682631104144,425.2496755213357,15.739648834656386
150.44024724286177,462.42734424464027,53.763022704370954,371.41151749030973,416.6248076624769,216.40058638647113,352.1841141573645,421.17183293639835,41.21640253738292
154.0542542995437,483.9026394656895,54.91226293498154,375.98633280564337,449.68975815066244,235.35750254213104,354.91305451812053,428.57262674735,46.608936354291814
157.49660159787146,444.07500372837825,67.06997363915082,377.33725026754155,483.8266299634245,245.0504946481086,371.2323631401133,433.5783512587799,42.89447662328124
174.018230448552,479.10117900784417,74.85217344577528,404.9870088146207,484.03587681434806,259.43099184202924,375.5167200051307,437.1435418625395,30.73820520479227
166.9971361931979,507.53413420833715,74.85217344577528,408.5483709455186,484.2343815049188,261.52723428936156,411.8599165439522,436.5162756116678,35.69897936125928
173.94571117370413,515.4941804834325,94.44920681160133,412.28174973916714,500.43819236856143,295.25167084076975,419.2569156680394,441.4500089064919,46.679798298922236
163.45001325949505,490.1851328991557,81.43136500364487,453.62358223573597,487.3671543687186,321.83190513662515,402.0819075036304,437.0955586087676,80.39605351304384
157.3394431499114,500.49368272711644,82.59332260565196,432.9598858441104,493.8435242094125,341.55948422275753,393.14964017698753,449.43671213454576,95.16052430816735
163.5040713197133,548.9295514827295,101.01666560112007,460.7057797169825,512.6293653454269,355.67625253084054,427.42642083970645,454.5068522512753,101.23692780238876
207.00901888498055,527.5420545799982,86.52830096805047,475.60842331409106,559.9736599641759,343.17417621237195,446.3379167353305,464.0552990574041,128.59208937464737
220.4592108772397,505.08287685343475,78.14842640433174,493.80627518907136,556.5171972912965,346.20121011202633,459.35915380077995,464.41587406033125,138.71880173762776
237.00236447862844,533.3903995867605,84.48397794480172,495.07755842642666,563.7530014495345,369.2324147845789,452.2570720744105,492.24593632941884,141.04892405595652
258.17013525341787,522.9395183547762,92.038261567715,507.6636090001414,569.5374550910556,355.0709619355927,469.67178680325037,489.82488191933993,150.34224071700552
264.92023491243293,527.7596947470062,86.79611624915938,518.2604627328813,593.7907776001705,393.4780144106802,457.01775271676945,487.9993686441513,147.44285876803792
242.8070982907136,526.1920977551542,102.4116988995128,549.4373179337633,539.1700312609127,413.6588936741222,459.6306676579485,491.37626538720355,166.58357631484512
243.74440702676378,511.40809958067484,136.6912560911552,580.2700056406495,572.356343165795,411.54341698178655,425.29883958117307,483.91987138096044,163.9719774397054
243.93622540278602,516.0437088702431,119.31644806656371,595.8248161558308,572.758781787236,418.7845424950782,418.5227793742365,510.61786923566035,156.2396386677991
237.00941214677383,512.2722641482547,110.14632317590991,608.1521388979468,569.6956133535492,411.85025102076435,436.85875172514966,516.2344583151034,177.73952111236986
243.042526847659,508.80099318494547,128.7236891590037,648.237213547013,593.2849249896573,416.15957370175414,452.3302004276035,495.4654083321369,190.3676312170113
249.22676931596934,530.590818397141,128.7236891590037,635.1160678237378,589.4083703433233,423.8678461506056,450.56241081415646,507.2214391459495,190.60925962785603
273.9252657008854,517.8913455609587,149.63009991450332,616.6857383098607,583.208072959291,446.34719778171427,455.1988025057264,505.44571753588934,213.44188547770662
258.49109439557583,563.0110995773406,157.16957697765903,612.3566677705644,594.3282429972555,513.2821881606985,475.85828659071217,498.9228871418893,211.1517501186657
301.54374096330355,566.8196062901875,179.6724830462011,613.0889961951576,597.9909426534637,524.8747683014597,476.40261362868506,484.8732529106688,195.14151878662065
296.05171939671175,563.9024681652983,174.0724619968014,601.8296924666928,601.5613859164503,512.8771166494381,483.6330282282564,500.10448670625044,196.2617146854584
295.47207011183093,577.6747639635319,179.86318150524852,613.1829622522539,606.3177502846248,514.9951586166901,475.74325065586913,506.22363650202624,187.602325898109
