,action_TFC_000,action_TFU_000,action_TNC_000,action_TNU_000,action_TFC_025,action_TFU_025,action_TNC_025,action_TNU_025,action_TFC_050,action_TFU_050,action_TNC_050,action_TNU_050,action_TFC_075,action_TFU_075,action_TNC_075,action_TNU_075,action_TFC_100,action_TFU_100,action_TNC_100,action_TNU_100
00A2000F3207000F3206000F,-11.363764417702177,2.73908168019536,-10.407088085726821,6.801064487687748,4.003565013924991,4.267817894093205,11.102367186362777,5.539373526877316,6.789034127534532,2.8476545580021186,1.687031951054906,7.5806600810141855,-0.3744595168570948,2.3572797454924537,1.6003150810699536,6.095054495716525,7.089839026815208,0.30602168019456144,0.401041371171738,1.1165298891864843
0632000F3207000F3206000F,-17.073537199729962,1.3042867897333608,0.5500393156335956,-0.07634712247022657,9.783313722929808,-3.4398085298360277,1.358647639410734,-0.1721602079486848,0.5500384175494428,1.0945394247777998,-1.051111162305086,-3.5859700236965155,-1.1636806040144303,-2.7834900468056345,-2.244560477647888,0.41315287948226853,-0.291800771394765,-1.1127934417313217,0.1597657057099071,-4.177679939285681
0632000F3207000F3207000F,1.0067219335676139,1.73957278975401,1.582687663149862,-2.404067359721661,-1.426547635520092,-4.084592432616005,10.28444031388241,3.7707824712215863,2.033526617812915,1.1647065050953893,-4.33853532263748,4.0616938388468515,1.906477996857503,-2.6523709105852253,-0.21708863873617634,3.4274220290126003,4.00839129738358,4.0367067769593685,0.5843435734425912,2.735320553825951
0093000F3207000F3207000F,-5.115020129284161,5.636142879292869,-1.1345735919337576,8.271003695258836,5.893860686387127,9.402781366846714,13.195132239494203,12.246036200076293,3.8550327197186114,5.424368216286446,6.62741145296671,3.1311309086084504,11.208782790607794,4.109981099438529,7.301729447246215,8.42713368703527,7.683907849433516,12.090739079028314,6.742264052863128,7.405250808640857
0082000F2106000F2106000F,0.16087215883030304,0.0,-1.003476743123652,-1.5,0.0,5.242869649747621,0.0,0.0,3.0,0.0,5.830918377936841,7.733808196634609,6.0958913880523005,0.0,0.0,0.0,11.076111813944486,0.0,3.6361879925576632,4.5578938376357705
0630000F1160000F1160000F,1.473621091427873,7.018969939330575,0.0,6.7754201173372115,5.397108346273163,6.682340196332573,6.028818799800779,2.58957261286685,5.001154824623233,6.278451510091578,9.361900714608547,6.910228801956279,0.8612783203058005,5.63688497417332,0.0,0.0,5.716284137049937,5.4994866444209505,5.7194383915914955,1.0793399277458593
0092000F2207000F2207000F,4.181325593261071,8.344656160958317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.969499434087918,0.0,0.0,0.0
000C000F000C000F000C000F,1.2021749844369856,2.1954730928590767,1.496595267828984,2.2517175073997926,1.427572799260546,2.2461281791805163,1.63748295397007,2.3105306361790268,4.329927989901202,2.2156138839263346,0.9602412231883279,2.286297214578732,1.2236594602978885,1.6497583251672432,2.209497271991956,1.9886910501448283,2.155501007538034,2.2780481339970633,2.2464931301377806,2.1366655093377656
terminal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0632000F3206000F3206000F,0.0,0.0,0.0,0.0,-3.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0
0723000F3207000F3207000F,-7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.702785786707054,-9.0,8.575998346569843,0.0,6.76651137337417,0.0,0.0,0.0,0.0,0.0
0631000F3106000F3106000F,-2.5703140969522185,7.386257925526407,3.0890813197255653,3.1704235983891724,-0.6489375,0.0,-0.8249999999999997,-3.5888889302047406,2.7177200885806068,7.36797450926852,10.685064989537384,3.803124292824779,3.19332348221137,7.53502539644522,6.02772179763916,0.0,8.069079580396714,7.201645806782756,0.9627692072167076,-1.3755141876347237
9210000F3207000F3207000F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.73851146234604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A210000F3208000F3208000F,0.0,0.0,0.0,0.0,0.0,0.0,19.509900670254005,11.033229457550558,29.591892880394987,0.0,0.0,17.39227830658157,10.790994718572946,16.806484863584085,0.0,0.0,0.0,0.0,0.0,14.269818792650845
D000000FD000000FD000000F,2.409568822904612,2.533047119777628,1.9105076061283925,2.2994005970417426,2.402308486364931,2.166823760185211,1.3269151223777684,1.2155818568663421,2.1921483696651087,2.273668853885954,1.7822298022654104,2.50177608864002,2.253538854158972,2.279632709505747,2.3703443397741104,2.426178145907215,1.5052061446049048,1.462384662530819,2.17607222112436,1.048324235653253
0092000F2107000F2107000F,0.0,9.230888779259178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000F000F000F000F000F000F,0.0,0.27533776031247764,0.0,0.0,2.0063507070035245,1.9506453844321228,0.0,1.2183283862883831,0.0,0.9850760759658295,2.566320025304904,0.3003547084338965,0.0,0.24170415782263346,0.434132491808734,0.0,0.07327504446793166,0.31616285098304897,0.45125410744416883,2.0348308354553057
0623000F3207000F3207000F,3.131054498372987,4.4117230740596245,-5.919570805931556,7.345808256298999,0.1805543349684433,6.092349525985044,8.530310865824372,8.102257528947636,8.23291274582909,13.571343472490195,4.0330136580405425,6.407695856230266,13.165026217801689,8.701052739337005,5.662170360760008,2.2124213798639136,6.777341084212756,8.984762288111803,8.723899587392879,6.6349903270614226
0092000F2208000F3108000F,-2.994134478981314,-0.49294807072918,5.2525631823336205,-1.275022683908562,6.787243974109684,0.8096169893662717,5.064113228716467,4.071743908666722,7.390052260048201,20.786630439022666,5.638292695916845,4.8914190016112835,5.316169261024422,6.963417385314314,7.5374726168074115,5.674779587739219,4.734271489109069,8.992377186746705,7.084316851708258,6.54977943349315
0070000F0070000F0070000F,3.039130690144418,0.0,0.0,0.0,0.6090039042315871,0.5217369317286118,0.4573589949570552,0.6632139576862204,1.237507429922216,0.0,0.9837388820028463,0.9368968600806087,0.0,0.0,0.0,0.5217369317286118,0.0,0.575449249444188,0.18027947628714694,0.0
0080000F0080000F0090000F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100B000F100B000F100B000F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.773407160651319,0.0
