[44.71428571 48.57142857],[45.63157895 48.63157895],[41.96240602 48.39097744]
[44.16666667 48.33333333],[45.47368421 48.73684211],[40.24561404 47.12280702]
[44.5        48.16666667],[45.21052632 48.57894737],[42.36842105 46.92982456]
[44.4 48.2],[44.89473684 48.84210526],[42.91578947 46.27368421]
[44.5 48.5],[44.73684211 48.78947368],[43.78947368 47.63157895]
[44.  47.5],[44.52631579 48.73684211],[42.42105263 43.78947368]
[44. 47.],[44.21052632 48.21052632],[43.36842105 43.36842105]
[38.5 49. ],[45.   49.25],[19.   48.25]
[39.5 48.5],[45.   49.25],[23.   46.25]
[40.5  48.75],[45.   49.25],[27.   47.25]
[40.75 48.5 ],[44.   49.25],[31.   46.25]
[41.5  48.75],[43.   49.25],[37.   47.25]
[41.75 49.  ],[42.75 49.5 ],[38.75 47.5 ]
[49.75 62.5 ],[58.25 63.  ],[24.25 61.  ]
[50.5 62.5],[58.25 63.  ],[27.25 61.  ]
[51.5  62.75],[58.25 63.  ],[31.25 62.  ]
[52.25 62.5 ],[57.   63.25],[38.   60.25]
[53.25 62.5 ],[55.5 63. ],[46.5 61. ]
[53.75 62.5 ],[54.75 63.5 ],[50.75 59.5 ]
[53.5  62.75],[54.5 63.5],[50.5 60.5]
[53.5 63. ],[54.5 63.5],[50.5 61.5]
[53.75 63.  ],[54.5  63.75],[51.5  60.75]
[53.75 63.25],[54.5  63.75],[51.5  61.75]
[54.   63.25],[54.5 64. ],[52.5 61. ]
[53.66666667 62.33333333],[54.25 64.  ],[51.91666667 57.33333333]
[53.66666667 63.33333333],[54.  63.5],[52.66666667 62.83333333]
[53.66666667 63.        ],[54.  63.5],[52.66666667 61.5       ]
[53.33333333 63.        ],[54.  63.5],[51.33333333 61.5       ]
[53.66666667 63.        ],[54.   63.25],[52.66666667 62.25      ]
[53.66666667 63.        ],[54.   63.25],[52.66666667 62.25      ]
[54.5 63. ],[54. 63.],[56. 63.]
[53. 62.],[54.   62.75],[50.   59.75]
[49.75 62.5 ],[58.25 63.  ],[24.25 61.  ]
[50.75 62.5 ],[58.25 63.  ],[28.25 61.  ]
[51.75 62.75],[58.25 63.  ],[32.25 62.  ]
[52.5 62.5],[57.   63.25],[39.   60.25]
[53.25 62.5 ],[55.5 63. ],[46.5 61. ]
[53.75 62.5 ],[54.75 63.5 ],[50.75 59.5 ]
[53.75 63.  ],[54.75 63.5 ],[50.75 61.5 ]
[53.5  63.75],[54.25 63.25],[51.25 65.25]
[53.75 63.5 ],[54.   63.25],[53.   64.25]
[53.5 63. ],[54.  63.5],[52.  61.5]
[54. 63.],[54.  63.5],[54.  61.5]
[53.75 62.75],[54.  63.5],[53.  60.5]
[53.25 63.  ],[54.  63.5],[51.  61.5]
[53.5 63. ],[54.  63.5],[52.  61.5]
[53.66666667 62.66666667],[54.  63.5],[52.66666667 60.16666667]
[54.         62.66666667],[54.   63.25],[54.         60.91666667]
[54.33333333 63.33333333],[54. 63.],[55.33333333 64.33333333]
[54.5 63. ],[54.   62.75],[56.   63.75]
[55. 62.],[54.25 63.  ],[57.25 59.  ]
[49.75 62.5 ],[58.25 63.  ],[24.25 61.  ]
[50.5 62.5],[58.25 63.  ],[27.25 61.  ]
[51.25 62.5 ],[58. 63.],[31. 61.]
[52.25 62.5 ],[56.25 63.  ],[40.25 61.  ]
[53.  62.5],[55.   63.25],[47.   60.25]
[53.5 62.5],[54.75 63.25],[49.75 60.25]
[53.75 62.5 ],[54.75 63.  ],[50.75 61.  ]
[53.75 62.75],[54.5 63. ],[51.5 62. ]
[54.   62.75],[54.25 63.5 ],[53.25 60.5 ]
[54.   62.75],[54.25 63.25],[53.25 61.25]
[54.   62.75],[54.25 63.25],[53.25 61.25]
[54.   62.75],[54. 63.],[54. 62.]
[54. 63.],[54. 63.],[54. 63.]
[54. 63.],[54.25 63.  ],[53.25 63.  ]
[54.  62.5],[54.25 63.  ],[53.25 61.  ]
[54. 63.],[54.25 62.75],[53.25 63.75]
[54.5 62. ],[54.25 62.75],[55.25 59.75]
[54.  61.5],[54.25 62.5 ],[53.25 58.5 ]
[49.75 62.5 ],[58.25 63.  ],[24.25 61.  ]
[50.75 62.5 ],[58.25 63.  ],[28.25 61.  ]
[51.5 62.5],[58.25 63.  ],[31.25 61.  ]
[52.5 62.5],[57.   63.25],[39.   60.25]
[53.  62.5],[55.5 63. ],[45.5 61. ]
[54.  62.5],[54.75 63.5 ],[51.75 59.5 ]
[54. 63.],[54.75 63.75],[51.75 60.75]
[53.75 63.  ],[54.5  63.75],[51.5  60.75]
[53.5 63. ],[54.25 63.5 ],[51.25 61.5 ]
[53.25 63.5 ],[54.   63.25],[51.   64.25]
[53.5  63.25],[53.75 63.25],[52.75 63.25]
[53. 63.],[53.75 63.25],[50.75 62.25]
[53.   62.75],[53.5 63.5],[51.5 60.5]
[52.75 63.25],[53.5 63.5],[50.5 62.5]
[52.75 63.25],[53.5 63.5],[50.5 62.5]
[52.75 63.  ],[53.5  63.25],[50.5  62.25]
[52.66666667 62.66666667],[53.5  63.25],[50.16666667 60.91666667]
[52.5 62.5],[53.25 63.25],[50.25 60.25]
[52. 63.],[53.25 63.25],[48.25 62.25]
[49.75 62.5 ],[58.25 63.  ],[24.25 61.  ]
[50.75 62.5 ],[58.25 63.  ],[28.25 61.  ]
[51.75 62.25],[58.25 63.  ],[32.25 60.  ]
[52.5 62.5],[57.   63.25],[39.   60.25]
[53.  62.5],[55.5 63. ],[45.5 61. ]
[53.5 62.5],[54.75 63.5 ],[49.75 59.5 ]
[53.75 62.5 ],[54.75 63.5 ],[50.75 59.5 ]
[54.25 62.75],[54.5  63.25],[53.5  61.25]
[54.  62.5],[54.5 63. ],[52.5 61. ]
[54.25 62.75],[54.5 63. ],[53.5 62. ]
[54.25 62.75],[54.5  63.25],[53.5  61.25]
[54.25 62.75],[54.5 63. ],[53.5 62. ]
[53.66666667 62.66666667],[54.5 63. ],[51.16666667 61.66666667]
[54.         62.66666667],[54.5  63.25],[52.5        60.91666667]
[54.         62.66666667],[54.25 63.  ],[53.25       61.66666667]
[53.66666667 62.66666667],[54.25 62.75],[51.91666667 62.41666667]
[53.5 62.5],[54.25 62.75],[51.25 61.75]
[54.  62.5],[54.  62.5],[54.  62.5]
[54.  62.5],[54.  62.5],[54.  62.5]
[54. 62.],[54.  62.5],[54.  60.5]
[49.75 62.5 ],[58.25 63.  ],[24.25 61.  ]
[49.75 62.5 ],[58.25 63.  ],[24.25 61.  ]
[49.75 62.5 ],[58.25 63.  ],[24.25 61.  ]
[50.5 62.5],[58.25 63.  ],[27.25 61.  ]
[51.5 62.5],[58.25 63.  ],[31.25 61.  ]
[52.5 62.5],[57.   63.25],[39.   60.25]
[53.25 62.5 ],[55.5 63. ],[46.5 61. ]
[53.75 63.  ],[54.5 63.5],[51.5 61.5]
[53.5  63.25],[54.25 64.  ],[51.25 61.  ]
[53.75 63.5 ],[54.25 64.25],[52.25 61.25]
[53.75 64.  ],[54.   64.25],[53.   63.25]
[53.75 63.75],[53.75 64.  ],[53.75 63.  ]
[53.   63.75],[53.75 64.  ],[50.75 63.  ]
[52.75 63.5 ],[53.75 64.  ],[49.75 62.  ]
[53.         63.66666667],[53.75 64.  ],[50.75       62.66666667]
[52.66666667 63.66666667],[54. 64.],[48.66666667 62.66666667]
[52.66666667 63.        ],[54.25 63.75],[47.91666667 60.75      ]
[53.33333333 63.        ],[54.   63.25],[51.33333333 62.25      ]
[49.75 62.5 ],[58.25 63.  ],[24.25 61.  ]
[49.75 62.5 ],[58.25 63.  ],[24.25 61.  ]
[49.75 62.5 ],[58.25 63.  ],[24.25 61.  ]
[50.75 62.5 ],[58.25 63.  ],[28.25 61.  ]
[52.  62.5],[56.25 63.  ],[39.25 61.  ]
[53.  62.5],[54.75 63.25],[47.75 60.25]
[53.25 62.5 ],[54.5 64. ],[49.5 58. ]
[53.25 63.5 ],[53.75 64.  ],[51.75 62.  ]
[52.75 63.75],[53.75 64.5 ],[49.75 61.5 ]
[52.75 64.25],[53.25 64.25],[51.25 64.25]
[52.75 64.  ],[53.25 64.25],[51.25 63.25]
[53. 64.],[53.25 64.25],[52.25 63.25]
[52. 64.],[53.25 64.25],[48.25 63.25]
[52.66666667 63.66666667],[53.25 64.25],[50.91666667 61.91666667]
[52.5 63. ],[53.  63.5],[51.  61.5]
[52. 63.],[53.25 63.25],[48.25 62.25]
