,action_ATK_nearest,action_ATK_nearest_weakest,action_MIX_lure,action_MIX_gather
0F94,-2.1,0.0,0.0,0.0
F0AB,0.0,0.0,-0.9,0.0
980F,-0.026009999999999978,0.0,0.0,0.0
AAC3,0.0,-2.4000000000000004,0.0,-1.8
C388,0.0,0.0,0.0,0.0
0F98,0.0,-0.11099999999999999,0.0,0.0
870F,0.0,0.9,0.0,0.0
AB0F,0.0,0.0,0.681,1.3162696833260998
6C0F,1.2000000000000002,-1.5,0.0,0.0
FFAB,0.0,0.0,1.9556099999999998,0.0
590F,0.0,0.0,0.0,1.3349190000000002
ABFF,0.0,-1.8,0.0,-1.004439
0F97,0.22281282900000005,0.0,0.0,0.0
0FAB,0.0,0.0,0.0,0.49162696833261005
956C,0.0,0.0,0.0,0.0
