,action_ATK_nearest,action_ATK_nearest_weakest,action_MIX_lure,action_MIX_gather
C3AB0F,0.27,0.0,0.0,0.0
980FFF,1.2000000000000002,0.0,0.0,0.0
0F0FAB,0.0,0.0,0.0,0.30000000000000004
C3FFF0,-1.5,0.0,0.0,0.0
FF0FF0,0.0,0.0,0.0,1.5600000000000003
ABF0F0,0.0,0.0,0.9,0.0
AB0FF0,1.2000000000000002,0.0,0.0,0.0
6CF00F,0.0,0.0,-2.1,0.0
F0F00F,0.0,-1.5,0.0,0.0
C3FF0F,0.6842999999999999,0.0,0.0,0.0
F00F0F,0.0,-0.32999999999999996,0.0,0.0
F00FFF,0.0,0.0,0.0,0.6270000000000001
C3F00F,-1.8,0.0,0.0,0.0
C3F0F0,2.3160000000000003,0.0,0.0,0.0
0F0FC3,0.0,0.0,-1.2000000000000002,0.0
F0F0FF,0.0,0.0,-1.3199999999999998,0.0
AB0F0F,0.9,0.0,0.0,0.0
F00FF0,0.0,0.0,0.6000000000000001,0.0
F0FFC3,0.0,-1.2000000000000002,0.0,0.0
0FF0AB,0.0,0.0,0.0,-0.9
0FABF0,0.0,-0.30000000000000004,0.0,0.0
0F0FF0,0.0,0.0,0.0,0.0
0FF00F,0.0,0.0,0.0,0.0
terminal,0.0,0.0,0.0,0.0
C30FF0,0.0,-0.6000000000000001,0.0,0.0
F0F0F0,0.0,-1.992,0.0,0.0
8B0F0F,0.0,1.11843,0.0,0.0
F0C30F,0.0,0.0,0.0,-2.1
0FC3FF,0.0,0.0,1.2000000000000002,0.0
ABC30F,0.0,0.0,0.0,0.30000000000000004
C3F0FF,0.30000000000000004,0.0,0.0,0.0
