,action_ATK_nearest,action_ATK_nearest_weakest,action_MIX_lure,action_MIX_gather
F00F0F,0.02700000000000001,0.0,0.0,-0.357
C30FAB,0.0,-0.9,0.0,0.0
0F0F0F,-0.9,0.0,-1.04814,3.4402213318102266
0F0FFF,1.7578152869539116,0.0,0.0,0.0
FF0F0F,0.0,0.0,0.452920996910653,0.019388739150000004
0FFF0F,0.0,0.0,0.0,2.2032510207072784
terminal,0.0,0.0,0.0,0.0
0F0FF0,0.0,0.0,0.024300000000000002,0.0
0FF0FF,0.0,0.0,0.0,0.0
F00FFF,-0.4521957352546842,0.0,0.0,0.0
FFFF0F,0.0,0.0,0.0,0.08215664738553799
0FFFFF,0.0,1.5270000000000001,-0.19200933611080437,0.0
