,action_ATK_nearest,action_ATK_nearest_weakest,action_MIX_lure,action_MIX_gather
F0C3F00F,0.0,2.4901747128060903,0.0,-3.0
980F0FFF,0.0,0.0,-3.6,0.0
C3F0F00F,0.0,0.0,0.7074600000000001,4.257041014056577
C3F00FF0,0.0,5.922597507709266,0.0,0.0
C30FF0F0,1.8473817910046226,0.0,0.0,0.0
F0F0C30F,0.0,4.716726016320654,0.8913867,0.0
F00FF0C3,0.0,0.0,4.200801778707207,0.0
0FF0F0C3,0.0,0.0,1.4223128690781381,0.0
0FF0F00F,0.0,0.0,0.37560000000000004,0.0
F00F0FF0,0.0,-1.2000000000000002,0.0,0.0
0FF00FF0,0.0,0.30000000000000004,0.0,0.6000000000000001
F0F00FC3,0.6000000000000001,3.1718757436431835,0.0,0.0
0FF0C3F0,0.0,0.0,0.6000000000000001,2.2427664570992003
F0C30FF0,0.0,-0.8145817275145399,1.9136177668932306,0.0
0FC3F0F0,0.0,0.0,0.0,1.712055154597898
F0F00F46,0.0,0.0,0.4859797677829139,-0.9447474
F00FC3F0,1.428601914002002,0.0,0.0,0.0
