,action_ATK_nearest,action_ATK_nearest_weakest,action_MIX_lure,action_MIX_gather
F00F,5.077424323388189,-0.8025191678612887,-0.54,-1.2000000000000002
ABF0,-0.6000000000000001,0.0,0.0,-1.5
F0F0,-0.2541,-2.4000000000000004,-0.7540903260081291,-0.6008398520397489
AAC3,1.2000000000000002,0.0,0.0,0.0
FFF0,-0.219,0.0,1.6142806842454813,0.0
F0FF,0.0,0.0,1.5985173477217616,0.0
AB0F,-0.9897326802058708,0.0,0.0,0.0
0FAB,1.681170589036371,0.055453598564451645,-2.1,0.0
29C3,0.0,0.0,0.0,1.5
C30F,0.1574083766496271,1.3912264861083083,0.0,0.16859654708591126
FF0F,0.0,0.9830878584448688,0.0,0.0
F0AB,0.0,0.6130563600874341,0.0,0.0
C90F,2.015685480555591,0.0,0.0,0.0
0FF0,0.0,0.0,-0.07180518210315268,5.107950741962888
C3F0,0.33672263075526543,0.0,0.0,0.0
0F5A,0.0,0.7846779431289465,0.0,0.0
0FC9,0.0,0.0,-1.8,0.0
C3AA,0.0,-0.13297625667723004,0.0,0.0
terminal,0.0,0.0,0.0,0.0
5A0F,0.0,0.0,-0.13140345291408875,0.0
F0C3,0.0,0.0,0.685374,0.0
A8F0,0.0,0.0,0.0,0.0
