action_TFC_000,action_TFU_000,action_TNC_000,action_TNU_000,action_TFC_025,action_TFU_025,action_TNC_025,action_TNU_025,action_TFC_050,action_TFU_050,action_TNC_050,action_TNU_050,action_TFC_075,action_TFU_075,action_TNC_075,action_TNU_075,action_TFC_100,action_TFU_100,action_TNC_100,action_TNU_100
0.0,4.5,-21.0,10.5,0.0,0.0,0.0,28.5,0.0,0.0,-4.8,-12.0,1.5,1.5,0.0,0.0,0.0,0.0,-7.65,-1.5
-43.8355934097681,26.6475,-53.39347853388527,-0.3293107945327769,4.950473017537563,3.406206540520837,-5.639433051393462,60.98274349836487,-3.000241247881095,12.340037681257016,20.64597117656267,-17.146890332884844,18.43397402928567,-11.77422463041577,1.5878532601809834,9.374600487442903,-1.5,-9.821359248707937,-0.009544819367002688,-6.390879184642918
-84.97547066961803,29.148874575152313,-57.10403939514052,-21.06539304902347,-4.786213150450718,3.350412860269029,13.49841574302416,80.55886938974167,14.99546458876813,9.484928147147727,31.52288279285935,6.600576413935387,30.524444743641,-7.42422463041577,4.883161657564973,2.362119015833472,15.282906665625001,4.169026092806943,7.285281229500885,-8.503469875318597
-112.63165457716514,57.64546731661191,-77.33735339293507,-14.246780880815479,-1.2018418306645575,0.6770774613538402,6.307717017773916,75.76722695305756,16.023633887208398,28.953634879587824,35.45466288871608,-6.6009257130543375,26.214426101905545,-12.718835189639861,-0.8719619640862657,-1.5892205075716057,47.00153819527086,44.11335005019937,2.4983256575856227,-3.1452967194755277
-106.06528870159897,48.5210565918587,-82.90222804288405,-29.20729148080453,22.199043790628906,6.183837952931348,-5.931580287634912,82.45318620900527,8.11266886367514,37.924814903008,44.514674953007265,10.14906096889799,13.914743658986005,-23.77526805129408,8.826584314569597,19.71851583370062,42.89651632027086,41.89415014833946,0.3056937258213299,23.594616497869453
-113.56528870159897,32.97169291899206,-111.33610946884288,-10.020071938296354,20.493528426554427,25.721780007585437,10.27224816141848,92.91412459231165,58.44057209882959,40.317818908497486,67.98120299822504,15.437777967784394,12.514458441010243,-27.8831260757849,8.973232632272515,0.30014621335279656,23.59844738531874,62.74201887102684,-10.470297902509028,11.727592933473677
-132.99911364823555,28.37290130076699,-117.32998412667078,-20.521781422794714,45.64811954327817,36.1403494608673,14.738798717447128,82.91509780213323,71.73786951483068,37.96190791019565,32.057487019444025,11.100033425868244,53.126361041181625,-20.50376728144213,49.818360441067284,3.129106315424563,31.52761308993439,83.64360289991184,-24.415722764293633,25.48540781266669
-129.1194697255495,32.97365707738121,-131.01216911660194,12.226610881319072,48.39208170040752,34.34284021632159,32.76322480732492,94.21410326715743,69.99063778161627,27.046532157434093,46.97986976382228,23.66293671283639,36.06651882230054,-29.376691628546112,73.24842134580861,1.7182861560989018,30.66511308993439,56.41389978558663,-21.487691895318545,35.50417050622081
-134.26732629029925,53.32854853136852,-162.89011711579423,11.056948882187491,86.28710451253596,35.44890592412944,46.98197389265212,95.86592483432496,78.4264586697482,36.7747494161808,42.97060323096885,34.24386796957789,65.16320978062049,-22.12503765647772,81.54051895237203,-14.422996978045859,-0.06238691006560515,55.00429502096928,-21.487691895318545,37.844739321602106
-145.70504594059472,41.10638662684038,-162.76381739896817,17.30349160536653,95.61157913834255,51.1702755468398,73.20948141528572,89.71760481791378,75.13862740455251,42.48230219273768,39.7345952604575,30.425975494036262,63.71791092561491,-20.039865109015302,85.34391084348117,0.876034887938129,1.3199121700901202,42.86998979846837,-6.71981121335218,37.25843738289632
