,action_TFC_000,action_TFU_000,action_TNC_000,action_TNU_000
C3FF,-1.0,0.0,0.0,0.0
FFC3,0.0,0.0,0.0,0.0
FFAB,0.0,-1.0,0.0,-1.0
FFD4,0.0,0.0,0.0,-0.5
ABFF,0.0,-0.9,0.0,-1.0
D4FF,0.0,0.0,0.0,-1.0
F0F0,0.0,0.0,0.0,-0.5
FFFF,0.0,0.0,-0.5,0.0
