,action_TFC_000,action_TFU_000,action_TNC_000,action_TNU_000
FF78,0.0,0.0,0.0,0.0
C3FF,-1.0,-1.5,-1.4801,-1.5
ABFF,0.0,-0.5,0.0,0.0
FFC3,-1.0,-1.5,0.0,0.0
FFB6,0.0,0.0,0.0,0.0
