,action_TFC_000,action_TFU_000,action_TNC_000,action_TNU_000
ABFF,-5.772152823054233,-7.835001760256321,-6.6560395044469205,-8.089543277864237
FFAB,-5.0687051001383026,-6.173339394744213,-4.780393883607,-6.020458089251003
FFFF,-1.1733411060350658,-1.1708625933727548,-2.396377633403548,-2.0278432181620154
terminal,0.0,0.0,0.0,0.0
