,action_TFC_000,action_TFU_000,action_TNC_000,action_TNU_000
FF46,-0.5,-0.5,-0.5,-1.0
46FF,-1.5,0.0,-0.95,-0.5
FFC3,0.0,0.0,0.0,0.0
C3FF,0.0,-1.5,0.0,0.0
