,action_TFC_000,action_TFU_000,action_TNC_000,action_TNU_000
87FF,-0.5,-0.5,-1.0,-0.5
FF87,0.0,-1.0,0.0,-0.5
C3FF,-0.5,0.0,-1.0,0.0
FFC3,-0.5,0.0,0.0,0.0
F0F0,0.0,-1.5,0.0,0.0
FFAB,0.0,-1.0,0.0,0.0
