,action_TFC_000,action_TFU_000,action_TNC_000,action_TNU_000
C3FF,-12.8773501706312,-13.295617240686527,-12.4412191676236,-12.667849868584081
FFC3,-9.073249021188037,-7.6740525499241965,-7.220178255235949,-8.313849682998466
FF87,-1.8495652371,-1.522935,-2.361741231693926,-2.110856585
87FF,-3.8157265036484738,-3.2273365290000005,-3.88114579648465,-4.585702856927685
F0F0,-1.4500000000000002,-1.0,-2.5301331132000002,-0.9455
ABFF,-1.135,-2.482603130543404,-3.321335351904503,-2.2248390201221446
FFAB,-1.0,-1.8694396261298025,0.0,0.0
