,action_TFC_000,action_TFU_000,action_TNC_000,action_TNU_000
C3,-12.76044246332376,-12.887348111107142,-12.930439286501436,-12.479516431617565
AB,-7.04651021346929,-8.485554868655532,-6.627025350217092,-7.4762400295743685
terminal,0.0,0.0,0.0,0.0
