,action_TFC_000,action_TFU_000,action_TNC_000,action_TNU_000
B6,-1.0,-1.0,0.0,-1.0
B8,-0.5,0.0,0.0,-0.5
AB,0.0,0.0,0.0,-1.5
77,-1.0,0.0,0.0,0.0
