,action_TFC_000,action_TFU_000,action_TNC_000,action_TNU_000
F0F0,-15.32203022397677,-15.809169059872323,-16.03468221838909,-15.445056211519166
FF,0.0,-0.5,-0.5,0.0
terminal,0.0,0.0,0.0,0.0
