,action_TFC_000,action_TFU_000,action_TNC_000,action_TNU_000
46FF,-0.5,-0.5,0.0,-0.5
ABFF,-0.95,-1.5,-1.5,-1.0
FF46,0.0,-0.5,0.0,0.0
FFAB,0.0,0.0,0.0,-1.0
F0F0,0.0,0.0,0.0,0.0
C3FF,0.0,0.0,0.0,-1.0
