action_TFC_000,action_TFU_000,action_TNC_000,action_TNU_000
0.0,0.0,0.0,0.0
0.0,0.0,0.0,-1.0
0.0,0.0,0.0,-1.0
0.0,0.0,0.0,-1.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,-1.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,-1.0
0.0,0.0,-0.5,0.0
0.0,0.0,0.0,-1.0
0.0,0.0,-0.5,0.0
0.0,0.0,0.0,-1.0
0.0,0.0,-0.5,0.0
0.0,0.0,0.0,-1.0
0.0,0.0,-0.5,0.0
0.0,0.0,0.0,-1.0
0.0,0.0,-0.5,0.0
0.0,0.0,0.0,-1.0
0.0,0.0,-0.5,0.0
0.0,0.0,0.0,-1.0
0.0,0.0,-0.5,0.0
0.0,0.0,0.0,-1.0
0.0,0.0,-0.5,0.0
0.0,0.0,0.0,-1.0
0.0,0.0,-0.5,0.0
0.0,0.0,0.0,-1.0
0.0,-0.5,-0.5,0.0
0.0,0.0,0.0,-1.0
0.0,-0.5,-0.5,0.0
0.0,0.0,0.0,-1.0
0.0,-0.5,-0.5,0.0
0.0,0.0,0.0,-1.0
0.0,-0.5,-0.5,0.0
0.0,0.0,0.0,-1.0
0.0,-0.5,-0.5,0.0
0.0,0.0,0.0,-1.0
0.0,-0.5,-0.5,0.0
0.0,0.0,0.0,-1.0
0.0,-0.5,-0.5,0.0
-1.0,-0.45,-0.5,-1.0
0.0,-0.5,-0.5,0.0
-1.0,-0.45,-0.5,-1.0
0.0,-0.5,-0.5,0.0
-1.0,-0.45,-0.5,-1.0
0.0,-0.5,-0.5,0.0
-1.0,-0.45,-0.5,-1.0
0.0,-0.5,-0.5,0.0
-1.0,-0.9455,-0.5,-1.0
-0.5405000000000001,-0.5,-0.5,0.0
-1.0,-1.35095,-0.5,-1.0
-0.5405000000000001,-0.5,-0.5,0.0
-1.0,-1.35095,-0.5,-1.0
-0.5405000000000001,-0.5,-0.5,0.0
-1.0,-1.35095,-0.5,-1.0
-0.5405000000000001,-0.5,-0.5,0.0
-1.0,-1.35095,-0.5,-1.0
-0.5405000000000001,-0.5,-0.5,-0.5
-1.0,-1.35095,-0.495,-1.0
-0.5405000000000001,-0.5,-0.495,-0.495
-1.0,-1.35095,-0.495,-1.0
-0.5405000000000001,-0.5,-0.495,-0.495
-1.0,-1.35095,-0.495,-1.0
-0.5405000000000001,-0.5,-0.495,-0.495
-1.0,-1.35095,-0.495,-1.0
-0.5405000000000001,-0.5,-0.495,-0.495
-1.0,-1.35095,-0.495,-1.0
-0.5405000000000001,-0.5,-0.495,-0.495
-1.0,-1.35095,-0.49005,-1.0
-0.5405000000000001,-0.5,-0.495,-0.495
-1.0,-1.35095,-0.49005,-1.0
-0.5405000000000001,-0.5,-0.49005,-0.495
-1.0,-1.35095,-0.49005,-1.0
-0.5405000000000001,-0.5,-0.49005,-0.495
-1.0,-1.35095,-0.49005,-1.0
-0.5405000000000001,-0.5,-0.9851495,-0.495
-1.0,-1.35095,-0.49005,-1.0
-0.5405000000000001,-0.5,-0.9851495,-0.495
-1.0,-1.35095,-0.49005,-1.0
-0.5405000000000001,-0.5,-0.9851495,-0.495
-1.0,-1.35095,-0.49005,-1.0
-0.5405000000000001,-0.5,-0.9851495,-0.495
-1.0,-1.35095,-0.49005,-1.0
-0.5405000000000001,-0.5,-0.93073905,-0.495
-1.0,-1.35095,-0.4851495,-1.0
-0.5405000000000001,-0.5,-0.93073905,-0.495
-1.0,-1.35095,-0.4851495,-1.0
-0.5405000000000001,-0.5,-0.93073905,-0.495
-1.0,-1.35095,-0.4851495,-1.0
-0.5405000000000001,-0.5,-0.93073905,-0.495
-1.0,-1.35095,-0.4851495,-1.0
-0.5405000000000001,-0.5,-0.93073905,-0.495
