action_TFC_000,action_TFU_000,action_TNC_000,action_TNU_000
0.0,0.0,0.0,-1.0
0.0,0.0,0.0,-1.0
0.0,0.0,0.0,-1.0
0.0,0.0,-0.45,-1.0
0.0,0.0,-0.45,-1.0
0.0,0.0,-0.45,-1.0
0.0,0.0,-0.45,-1.0
0.0,0.0,-0.45,-1.0
0.0,0.0,-0.45,-1.0
0.0,0.0,-0.45,-1.0
0.0,0.0,-0.45,-1.0
0.0,0.0,-0.45,-1.0
0.0,0.0,-0.45,-1.0
0.0,0.0,-0.45,-1.0
0.0,0.0,-0.45,-1.0
0.0,0.0,-0.45,-1.0
0.0,0.0,-0.45,-1.0
0.0,0.0,-0.45,-1.0
0.0,0.0,-0.45,-1.0
0.0,0.0,-0.45,-1.0
0.0,-0.5,-0.45,-1.0
0.0,-0.5,-0.45,-1.0
-1.0,-0.95,-0.45,-1.0
-1.4405000000000001,-0.95,-0.4455,-1.0
-1.4405000000000001,-0.95,-0.4455,-1.0
-1.4405000000000001,-0.95,-0.4455,-1.0
-1.4405000000000001,-0.95,-0.4455,-1.0
-1.4405000000000001,-0.95,-0.4455,-1.0
-1.4405000000000001,-0.95,-0.4455,-1.0
-1.4405000000000001,-0.95,-0.4455,-1.0
-1.4405000000000001,-0.95,-0.4455,-1.0
-1.4405000000000001,-0.95,-0.4455,-1.0
-1.4405000000000001,-0.95,-2.8324405,-1.0
-1.4405000000000001,-0.95,-2.8324405,-1.0
-1.4405000000000001,-0.95,-2.8324405,-1.0
-1.4405000000000001,-0.95,-2.8324405,-1.0
-1.4405000000000001,-0.95,-2.8324405,-1.0
-1.4405000000000001,-0.95,-2.8324405,-1.0
-1.4405000000000001,-0.95,-2.8324405,-1.0
-1.4405000000000001,-1.9405000000000001,-2.8324405,-1.0
-1.4405000000000001,-2.83645,-2.8324405,-1.0
-1.4405000000000001,-2.83645,-2.8324405,-1.0
-1.4405000000000001,-2.83645,-2.8324405,-0.99
-1.4405000000000001,-2.83645,-2.8324405,-0.99
-1.4405000000000001,-2.83645,-2.8324405,-0.99
-1.4405000000000001,-2.83645,-2.8324405,-0.99
-1.4405000000000001,-2.83645,-2.8324405,-0.99
