action_TFC_000,action_TFU_000,action_TNC_000,action_TNU_000
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,-1.5,0.0
0.0,0.0,0.0,0.0
0.0,0.0,-1.5,0.0
0.0,0.0,0.0,0.0
0.0,0.0,-1.5,0.0
0.0,0.0,0.0,0.0
0.0,0.0,-1.5,0.0
0.0,0.0,0.0,0.0
-1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,-1.5,0.0
0.0,0.0,0.0,0.0
-1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,-1.5,0.0
0.0,0.0,0.0,0.0
-1.0,0.0,0.0,0.0
-1.5,0.0,0.0,0.0
0.0,0.0,-1.5,0.0
0.0,0.0,0.0,0.0
-1.0,0.0,0.0,0.0
-1.5,0.0,0.0,0.0
0.0,0.0,-1.5,0.0
0.0,0.0,0.0,0.0
-1.0,0.0,0.0,0.0
-1.715,0.0,0.0,0.0
0.0,0.0,-1.5,0.0
0.0,0.0,0.0,0.0
-1.0,-1.0,-1.0,-1.5
-1.715,0.0,0.0,0.0
0.0,0.0,-1.5,0.0
0.0,0.0,0.0,0.0
-1.0,-1.0,-1.0,-1.5
-1.715,0.0,0.0,0.0
0.0,0.0,-1.5,0.0
0.0,0.0,0.0,0.0
-1.0,-1.9,-1.0,-1.5
-1.715,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,-1.5,0.0
0.0,0.0,0.0,0.0
-0.99,-1.9,-1.0,-1.5
-1.715,0.0,0.0,0.0
-0.09000000000000001,0.0,0.0,0.0
0.0,0.0,-1.5,0.0
0.0,0.0,0.0,0.0
-0.99,-1.9,-1.0,-1.5
-1.715,0.0,0.0,0.0
-0.09000000000000001,0.0,0.0,0.0
0.0,0.0,-1.5,0.0
0.0,0.0,0.0,0.0
-1.9801,-1.9,-1.0,-1.5
-1.715,0.0,0.0,0.0
-0.09000000000000001,0.0,0.0,0.0
0.0,0.0,-1.5,0.0
0.0,0.0,0.0,0.0
-1.9801,-1.9,-1.0,-1.5
-1.715,0.0,0.0,0.0
-0.09000000000000001,0.0,0.0,0.0
0.0,0.0,-1.5,0.0
0.0,0.0,0.0,0.0
-1.87209,-1.9,-0.99,-1.5
-1.715,0.0,0.0,0.0
-0.09000000000000001,0.0,0.0,0.0
0.0,0.0,-1.5,0.0
0.0,0.0,0.0,0.0
-1.87209,-1.9,-0.8820899999999999,-1.5
-1.715,0.0,0.0,0.0
-0.09000000000000001,0.0,0.0,0.0
0.0,0.0,-1.5,0.0
0.0,0.0,0.0,0.0
-1.87209,-1.9,-0.8820899999999999,-1.5
-1.715,0.0,0.0,0.0
-0.09000000000000001,0.0,0.0,0.0
0.0,0.0,-1.5,0.0
0.0,-1.0,0.0,0.0
-1.87209,-1.9,-0.8820899999999999,-1.5
-1.715,0.0,0.0,0.0
-0.09000000000000001,0.0,0.0,0.0
0.0,0.0,-1.5,0.0
0.0,-1.0,0.0,0.0
-1.87209,-1.9,-0.8820899999999999,-1.5
-1.715,0.0,0.0,-1.0
-0.09000000000000001,0.0,0.0,0.0
0.0,0.0,-1.5,0.0
0.0,-1.0,0.0,0.0
-1.87209,-1.9,-0.8820899999999999,-1.5
-1.715,0.0,0.0,-1.0
-0.09000000000000001,0.0,0.0,0.0
0.0,0.0,-1.5,0.0
0.0,-1.0,0.0,0.0
-1.87209,-1.9,-0.8820899999999999,-1.5
-1.715,0.0,0.0,-1.0
-0.09000000000000001,0.0,0.0,0.0
0.0,0.0,-1.5,0.0
0.0,-1.0,0.0,0.0
-1.87209,-1.9,-0.8820899999999999,-1.5
-1.715,0.0,0.0,-1.0
-0.09000000000000001,0.0,0.0,0.0
0.0,0.0,-1.5,0.0
0.0,-1.0,0.0,0.0
-1.87209,-1.9,-0.8820899999999999,-1.5
-1.715,0.0,0.0,-1.0
-0.09000000000000001,0.0,0.0,0.0
0.0,0.0,-1.5,0.0
0.0,-1.0,0.0,0.0
-1.87209,-1.9,-0.8820899999999999,-1.5
-1.715,0.0,0.0,-1.0
-0.09000000000000001,0.0,0.0,0.0
0.0,0.0,-1.5,0.0
0.0,-1.0,0.0,0.0
-1.87209,-1.9,-0.8820899999999999,-1.5
-1.715,0.0,0.0,-1.0
-0.09000000000000001,0.0,0.0,0.0
0.0,0.0,-1.5,0.0
0.0,-1.0,-0.5793881,0.0
-1.87209,-1.9,-0.8820899999999999,-1.5
-1.715,0.0,-1.0,-1.0
-0.09000000000000001,0.0,0.0,0.0
0.0,0.0,-1.5,0.0
-0.135,-1.0,-0.5793881,-1.5
-1.87209,-1.9,-1.78594219,-2.85
-1.715,0.0,-1.0,-1.0
-0.09000000000000001,0.0,0.0,0.0
0.0,0.0,-1.5,0.0
-1.7822347970999999,-1.0,-0.5793881,-1.5
-1.87209,-1.9,-1.78594219,-2.85
-1.715,-1.51215,-1.0,-1.0
-0.09000000000000001,0.0,0.0,0.0
0.0,0.0,-1.5,0.0
-1.7822347970999999,-1.0,-0.5793881,-1.5
-1.87209,-1.9,-1.6973479710000001,-2.85
-1.715,-1.51215,-0.99,-1.0
-0.09000000000000001,0.0,0.0,0.0
0.0,0.0,-1.5,0.0
-1.7822347970999999,-1.0,-0.5793881,-1.5
-1.87209,-1.9,-1.6973479710000001,-2.85
-1.715,-1.51215,-0.9801,-1.4891
-0.09000000000000001,0.0,0.0,0.0
0.0,0.0,-1.5,0.0
-1.7822347970999999,-1.0,-0.5793881,-1.5
-1.87209,-1.9,-1.6973479710000001,-2.85
-1.715,-1.51215,-0.9605960100000001,-1.4891
-0.09000000000000001,0.0,0.0,0.0
0.0,0.0,-1.5,0.0
-1.7822347970999999,-1.0,-0.5793881,-1.5
-1.87209,-1.9,-1.6973479710000001,-2.85
-1.715,-1.51215,-3.55809892101481,-1.4891
-0.09000000000000001,0.0,-0.6220301940419001,0.0
0.0,0.0,0.0,0.0
0.0,0.0,-1.5,0.0
-1.7822347970999999,-1.0,-0.5793881,-1.5
-1.87209,-1.9,-1.6973479710000001,-2.85
-1.715,-1.51215,-3.55809892101481,-1.4891
-0.09000000000000001,0.0,-0.6220301940419001,0.0
0.0,0.0,0.0,0.0
0.0,0.0,-1.5,0.0
-1.7822347970999999,-1.0,-0.5793881,-1.5
-1.87209,-1.9,-1.6973479710000001,-2.85
-1.715,-1.51215,-3.55809892101481,-1.4891
-0.09000000000000001,0.0,-0.6220301940419001,0.0
0.0,0.0,0.0,0.0
0.0,0.0,-1.5,0.0
-1.7822347970999999,-1.0,-0.5793881,-1.5
-1.87209,-1.9,-1.68037449129,-2.85
-1.715,-1.51215,-3.55809892101481,-1.4891
-0.09000000000000001,0.0,-0.6220301940419001,0.0
0.0,0.0,-0.65276131739,0.0
0.0,0.0,-1.5,0.0
-1.7822347970999999,-1.0,-0.5793881,-1.5
-1.87209,-1.9,-1.68037449129,-2.85
-1.715,-1.51215,-3.55809892101481,-1.4891
-0.09000000000000001,0.0,-0.6220301940419001,0.0
0.0,0.0,-0.65276131739,0.0
0.0,0.0,-1.5,0.0
-1.7822347970999999,-1.0,-0.5793881,-1.5
-1.87209,-1.9,-1.68037449129,-2.85
-1.715,-1.51215,-3.55809892101481,-1.4891
-0.09000000000000001,0.0,-0.6220301940419001,0.0
0.0,0.0,-0.65276131739,0.0
0.0,-1.6684881000000003,-1.5,0.0
-1.7822347970999999,-1.0,-0.5793881,-1.5
-1.87209,-1.9,-2.012337042161,-2.85
-1.715,-1.51215,-3.55809892101481,-1.4891
-0.09000000000000001,0.0,-0.6220301940419001,0.0
0.0,0.0,-0.65276131739,0.0
0.0,-1.6684881000000003,-1.5,0.0
-1.7822347970999999,-1.0,-0.5793881,-1.5
-1.87209,-1.9,-2.012337042161,-2.85
-1.715,-1.51215,-3.55809892101481,-1.4891
-0.09000000000000001,0.0,-0.6220301940419001,0.0
0.0,0.0,-0.65276131739,0.0
0.0,-1.6684881000000003,-1.5,0.0
-1.7822347970999999,-1.0,-0.5793881,-1.5
-1.87209,-1.9,-2.012337042161,-2.85
-1.715,-1.51215,-3.55809892101481,-1.4891
-0.09000000000000001,0.0,-0.6220301940419001,0.0
0.0,0.0,-0.65276131739,0.0
0.0,-1.6684881000000003,-1.5,0.0
-1.7822347970999999,-1.0,-0.5793881,-1.5
-1.8533691,-1.9,-2.012337042161,-2.85
-1.715,-1.51215,-3.55809892101481,-1.4891
-0.09000000000000001,0.0,-0.6220301940419001,0.0
0.0,0.0,-0.65276131739,0.0
0.0,-1.6684881000000003,-1.5,0.0
