action_TFC_000,action_TFU_000,action_TNC_000,action_TNU_000
0.0,0.0,-1.5,0.0
0.0,-1.4500000000000002,-1.5,-0.5
-2.895,-4.27695,-4.447050000000001,-3.426
-2.8373895,-4.27695,-4.447050000000001,-3.426
-5.6864540445000005,-5.734180500000001,-4.447050000000001,-5.287491500000001
-6.573293609014451,-6.060996950000001,-6.666039261864951,-6.122935790505001
-6.573293609014451,-6.060996950000001,-6.666039261864951,-6.122935790505001
-8.80674813919972,-8.649346661346472,-7.099378869246301,-7.556131936954501
-8.80674813919972,-9.562853194733007,-9.855598446824361,-10.860954755347644
-8.80674813919972,-9.562853194733007,-9.855598446824361,-10.860954755347644
-11.333270235702077,-10.899175207787682,-12.608824144101794,-10.860954755347644
0.0,0.0,0.0,0.0
-11.333270235702077,-12.290183455709805,-12.608824144101794,-13.508036455715644
0.0,0.0,0.0,0.0
-14.054060291024435,-14.935347632006598,-14.300185593409108,-13.508036455715644
0.0,0.0,0.0,0.0
-16.55115557986092,-17.301904182833397,-16.93564665060811,-17.810912610380267
0.0,0.0,0.0,0.0
-16.554569707983475,-17.301904182833397,-16.93564665060811,-19.019425351529723
0.0,0.0,0.0,0.0
-16.554569707983475,-17.301904182833397,-16.93564665060811,-19.019425351529723
0.0,0.0,0.0,0.0
-17.88902401090364,-17.301904182833397,-16.93564665060811,-19.019425351529723
0.0,0.0,0.0,0.0
-18.943086510284328,-19.897186309657677,-19.04683254214683,-19.019425351529723
0.0,0.0,0.0,0.0
-20.253655645181485,-19.897186309657677,-19.04683254214683,-19.019425351529723
0.0,0.0,0.0,0.0
-20.253655645181485,-19.897186309657677,-19.04683254214683,-19.019425351529723
0.0,0.0,0.0,0.0
-21.44003836230101,-19.897186309657677,-19.04683254214683,-19.019425351529723
0.0,0.0,0.0,0.0
-21.44003836230101,-19.897186309657677,-19.04683254214683,-20.060522917006196
0.0,0.0,0.0,0.0
-21.44003836230101,-19.897186309657677,-19.04683254214683,-20.060522917006196
0.0,0.0,0.0,0.0
-21.44003836230101,-19.897186309657677,-21.15780057455811,-20.060522917006196
0.0,0.0,0.0,0.0
-21.44003836230101,-19.897186309657677,-21.15780057455811,-20.060522917006196
0.0,0.0,0.0,0.0
-21.44003836230101,-19.897186309657677,-21.33276728497149,-20.060522917006196
0.0,0.0,0.0,0.0
-21.44003836230101,-19.6982144465611,-21.33276728497149,-20.060522917006196
0.0,0.0,0.0,0.0
-21.44003836230101,-19.6982144465611,-21.33276728497149,-20.060522917006196
0.0,0.0,0.0,0.0
-21.44003836230101,-19.90728906388597,-21.33276728497149,-20.060522917006196
0.0,0.0,0.0,0.0
-21.44003836230101,-19.90728906388597,-21.33276728497149,-20.060522917006196
0.0,0.0,0.0,0.0
-21.44003836230101,-20.70821617324711,-21.33276728497149,-20.346126641055314
0.0,0.0,0.0,0.0
-21.44003836230101,-20.70821617324711,-21.33276728497149,-20.346126641055314
0.0,0.0,0.0,0.0
-21.44003836230101,-20.468545953617376,-21.33276728497149,-20.346126641055314
0.0,0.0,0.0,0.0
-21.44003836230101,-20.468545953617376,-21.33276728497149,-20.346126641055314
0.0,0.0,0.0,0.0
-21.44003836230101,-20.468545953617376,-21.33276728497149,-20.346126641055314
0.0,0.0,0.0,0.0
-21.44003836230101,-20.468545953617376,-21.33276728497149,-20.346126641055314
0.0,0.0,0.0,0.0
-21.44003836230101,-20.468545953617376,-21.33276728497149,-20.346126641055314
0.0,0.0,0.0,0.0
-21.44003836230101,-20.468545953617376,-21.33276728497149,-20.346126641055314
0.0,0.0,0.0,0.0
-21.44003836230101,-23.017077897280174,-22.541659692299906,-21.64266537464476
0.0,0.0,0.0,0.0
-22.40091406452823,-23.017077897280174,-22.541659692299906,-22.92623872089831
0.0,0.0,0.0,0.0
-23.437963803801644,-23.017077897280174,-22.541659692299906,-23.14969711461602
0.0,0.0,0.0,0.0
-23.437963803801644,-23.017077897280174,-23.316243095376905,-23.14969711461602
0.0,0.0,0.0,0.0
-23.437963803801644,-23.786907118307372,-23.05615579659443,-23.14969711461602
0.0,0.0,0.0,0.0
-23.437963803801644,-24.483270428170133,-24.325594238628486,-23.14969711461602
0.0,0.0,0.0,0.0
-23.437963803801644,-24.483270428170133,-24.97650755508108,-22.91820014346986
0.0,0.0,0.0,0.0
-23.437963803801644,-24.483270428170133,-24.97650755508108,-22.91820014346986
0.0,0.0,0.0,0.0
-23.437963803801644,-24.483270428170133,-24.97650755508108,-22.91820014346986
0.0,0.0,0.0,0.0
-23.437963803801644,-24.483270428170133,-24.97650755508108,-22.732506681008662
0.0,0.0,0.0,0.0
-23.437963803801644,-24.483270428170133,-24.97650755508108,-23.005181614198577
0.0,0.0,0.0,0.0
-23.437963803801644,-24.483270428170133,-24.97650755508108,-23.005181614198577
0.0,0.0,0.0,0.0
