action_TFC_000,action_TFU_000,action_TNC_000,action_TNU_000
0.0,-1.5,0.0,0.0
0.0,-1.5,0.0,0.0
0.0,-1.5,0.0,0.0
0.0,-1.35,0.0,0.0
-1.5,-1.35,-1.0,-1.0
-1.5,-1.35,-0.99,-2.49
-1.5,-1.35,-0.99,-2.49
-1.4678913285,-1.0139342201618564,-1.4297309999999999,-2.49
0.0,0.0,0.0,0.0
-1.4678913285,-1.0139342201618564,-1.4297309999999999,-2.49
0.0,0.0,0.0,0.0
-1.4678913285,-2.493756929180636,-1.4297309999999999,-2.49
0.0,0.0,0.0,0.0
-1.4678913285,-2.493756929180636,-1.4297309999999999,-2.49
0.0,0.0,0.0,0.0
-1.4678913285,-2.493756929180636,-1.4297309999999999,-2.49
0.0,0.0,0.0,0.0
-1.4678913285,-2.493756929180636,-1.4297309999999999,-2.49
0.0,0.0,0.0,0.0
-1.4678913285,-2.493756929180636,-1.4297309999999999,-2.49
0.0,0.0,0.0,0.0
-1.4678913285,-2.8730570262625723,-2.41543369,-2.49
0.0,0.0,0.0,0.0
-1.4678913285,-2.8730570262625723,-2.41543369,-2.49
0.0,0.0,0.0,0.0
-1.4678913285,-2.8730570262625723,-3.806000540565,-2.49
0.0,0.0,0.0,0.0
-1.4678913285,-2.8730570262625723,-3.806000540565,-2.49
0.0,0.0,0.0,0.0
-1.4678913285,-2.8730570262625723,-3.806000540565,-2.49
0.0,0.0,0.0,0.0
-2.453212415215,-2.8730570262625723,-3.806000540565,-2.49
0.0,0.0,0.0,0.0
-2.453212415215,-2.8730570262625723,-3.806000540565,-2.49
0.0,0.0,0.0,0.0
-2.92868029106285,-2.8730570262625723,-3.806000540565,-2.49
0.0,0.0,0.0,0.0
-3.3599122619565653,-2.8730570262625723,-3.806000540565,-3.440449
0.0,0.0,0.0,0.0
-3.3599122619565653,-2.8730570262625723,-3.806000540565,-3.440449
0.0,0.0,0.0,0.0
-3.3599122619565653,-3.344326455999947,-3.806000540565,-3.8549792323636316
0.0,0.0,0.0,0.0
-3.3599122619565653,-4.310883191439947,-3.806000540565,-3.8549792323636316
0.0,0.0,0.0,0.0
-5.7362218740541495,-4.682186975872043,-5.588094612556142,-4.778265145639596
0.0,0.0,0.0,0.0
-5.7362218740541495,-5.574757110632043,-5.588094612556142,-5.7218354589041205
0.0,0.0,0.0,0.0
-5.7362218740541495,-5.932073776874521,-6.031013291257412,-6.064415362548445
0.0,0.0,0.0,0.0
-5.7362218740541495,-5.932073776874521,-6.031013291257412,-6.064415362548445
0.0,0.0,0.0,0.0
-7.994860329700954,-5.932073776874521,-6.031013291257412,-6.064415362548445
0.0,0.0,0.0,0.0
-7.994860329700954,-5.932073776874521,-6.031013291257412,-6.064415362548445
0.0,0.0,0.0,0.0
-7.994860329700954,-5.932073776874521,-6.031013291257412,-6.064415362548445
0.0,0.0,0.0,0.0
-7.994860329700954,-5.932073776874521,-6.031013291257412,-6.064415362548445
0.0,0.0,0.0,0.0
-7.994860329700954,-5.932073776874521,-6.031013291257412,-6.064415362548445
0.0,0.0,0.0,0.0
-7.994860329700954,-5.932073776874521,-6.031013291257412,-6.064415362548445
0.0,0.0,0.0,0.0
-7.994860329700954,-5.932073776874521,-6.031013291257412,-6.064415362548445
0.0,0.0,0.0,0.0
-7.994860329700954,-5.932073776874521,-6.031013291257412,-6.064415362548445
0.0,0.0,0.0,0.0
-7.994860329700954,-5.932073776874521,-6.031013291257412,-6.064415362548445
0.0,0.0,0.0,0.0
-7.994860329700954,-7.7282689314083655,-6.031013291257412,-6.064415362548445
0.0,0.0,0.0,0.0
-7.994860329700954,-7.7282689314083655,-5.970703158344838,-6.064415362548445
0.0,0.0,0.0,0.0
-7.994860329700954,-7.7282689314083655,-6.91099612676139,-6.064415362548445
0.0,0.0,0.0,0.0
-7.994860329700954,-7.7282689314083655,-6.91099612676139,-6.064415362548445
0.0,0.0,0.0,0.0
-7.994860329700954,-7.7282689314083655,-6.91099612676139,-6.064415362548445
0.0,0.0,0.0,0.0
-7.994860329700954,-7.7282689314083655,-7.765693896714611,-6.00377120892296
0.0,0.0,0.0,0.0
-7.994860329700954,-7.7282689314083655,-7.765693896714611,-6.00377120892296
0.0,0.0,0.0,0.0
-7.994860329700954,-7.495781447070596,-7.765693896714611,-6.9437334968337305
0.0,0.0,0.0,0.0
-7.994860329700954,-7.495781447070596,-7.765693896714611,-7.874296161865393
0.0,0.0,0.0,0.0
-7.994860329700954,-7.495781447070596,-7.765693896714611,-7.874296161865393
0.0,0.0,0.0,0.0
-7.994860329700954,-7.495781447070596,-7.765693896714611,-8.761486875915207
0.0,0.0,0.0,0.0
