action_TFC_000,action_TFU_000,action_TNC_000,action_TNU_000
0.0,0.0,0.0,0.0
0.0,-1.0,0.0,0.0
0.0,0.0,0.0,0.0
-1.0,-1.0,-0.9950000000000001,-1.0
0.0,0.0,0.0,0.0
-1.0,-1.0,-0.9950000000000001,-1.0
0.0,0.0,0.0,0.0
-2.99,-1.0,-2.876545,-1.49
0.0,0.0,0.0,0.0
-2.99,-1.9751,-2.876545,-1.49
0.0,0.0,0.0,0.0
-2.9601,-3.3875731,-3.7321015950000005,-3.7521186300000005
0.0,0.0,0.0,0.0
-2.966750603269168,-3.2814065334013636,-3.7321015950000005,-3.7521186300000005
0.0,0.0,0.0,0.0
-6.248330183187701,-4.720273434355453,-3.7321015950000005,-3.7521186300000005
0.0,0.0,0.0,0.0
-6.248330183187701,-5.585936767619907,-5.194780579050001,-4.714597443700001
0.0,0.0,0.0,0.0
-6.248330183187701,-5.585936767619907,-5.194780579050001,-7.026229511227833
0.0,0.0,0.0,0.0
-8.606828126647219,-7.889419376436231,-10.207353699967436,-10.10420258489516
0.0,0.0,0.0,0.0
-8.606828126647219,-7.889419376436231,-10.207353699967436,-10.10420258489516
0.0,0.0,0.0,0.0
-9.956193057861759,-8.72241993084515,-10.207353699967436,-10.10420258489516
0.0,0.0,0.0,0.0
-9.956193057861759,-8.72241993084515,-10.207353699967436,-10.10420258489516
0.0,0.0,0.0,0.0
-9.004202536857273,-10.885516772006758,-10.207353699967436,-10.10420258489516
0.0,0.0,0.0,0.0
-9.004202536857273,-10.885516772006758,-10.207353699967436,-10.10420258489516
0.0,0.0,0.0,0.0
-11.221818717310075,-10.885516772006758,-10.207353699967436,-10.10420258489516
0.0,0.0,0.0,0.0
-11.221818717310075,-10.885516772006758,-10.207353699967436,-10.10420258489516
0.0,0.0,0.0,0.0
-12.509015078219633,-10.885516772006758,-10.207353699967436,-11.50316055904621
0.0,0.0,0.0,0.0
-12.509015078219633,-10.885516772006758,-10.207353699967436,-11.50316055904621
0.0,0.0,0.0,0.0
-12.509015078219633,-10.885516772006758,-10.207353699967436,-11.50316055904621
0.0,0.0,0.0,0.0
-12.509015078219633,-10.885516772006758,-10.207353699967436,-13.271506336138659
0.0,0.0,0.0,0.0
-12.509015078219633,-12.39727581357889,-11.218195362286497,-13.924396355687376
0.0,0.0,0.0,0.0
-12.509015078219633,-13.571784106938559,-12.856712770341396,-13.924396355687376
0.0,0.0,0.0,0.0
-10.70261767913366,-14.081364531222205,-15.066104900210691,-13.416295663082616
0.0,0.0,0.0,0.0
-10.70261767913366,-14.081364531222205,-15.066104900210691,-13.416295663082616
0.0,0.0,0.0,0.0
-14.414188992843384,-14.081364531222205,-15.066104900210691,-13.416295663082616
0.0,0.0,0.0,0.0
-15.598991833642417,-16.293772806674887,-15.95758975338384,-16.07124224361661
0.0,0.0,0.0,0.0
-15.598991833642417,-16.293772806674887,-17.265740043073272,-16.07124224361661
0.0,0.0,0.0,0.0
-15.943001915305993,-16.293772806674887,-17.265740043073272,-16.07124224361661
0.0,0.0,0.0,0.0
-17.501626508463136,-8.08921788478496,-16.797546709637572,-15.395719495339911
0.0,0.0,0.0,0.0
-17.501626508463136,-9.222775473938771,-16.29986011293263,-15.395719495339911
0.0,0.0,0.0,0.0
-17.501626508463136,-6.0554581040846545,-16.29986011293263,-15.395719495339911
0.0,0.0,0.0,0.0
-17.501626508463136,-5.3038976878389965,-16.29986011293263,-15.395719495339911
0.0,0.0,0.0,0.0
-17.501626508463136,-6.560201956386365,-16.29986011293263,-15.395719495339911
0.0,0.0,0.0,0.0
-17.501626508463136,-9.669333790857946,-16.29986011293263,-15.395719495339911
0.0,0.0,0.0,0.0
-17.501626508463136,-11.857244907935675,-17.040114142816584,-15.395719495339911
0.0,0.0,0.0,0.0
-17.05512491654008,-15.641859237920833,-17.040114142816584,-15.395719495339911
0.0,0.0,0.0,0.0
-17.05512491654008,-17.975207611879306,-17.040114142816584,-17.475353401760735
0.0,0.0,0.0,0.0
-17.05512491654008,-17.975207611879306,-17.040114142816584,-17.475353401760735
0.0,0.0,0.0,0.0
-17.05512491654008,-17.975207611879306,-17.040114142816584,-17.475353401760735
0.0,0.0,0.0,0.0
-12.261102999549069,-17.975207611879306,-18.117702943738184,-17.475353401760735
0.0,0.0,0.0,0.0
-14.00710704985804,-17.975207611879306,-18.117702943738184,-17.475353401760735
0.0,0.0,0.0,0.0
-17.405520143736503,-17.975207611879306,-18.117702943738184,-17.475353401760735
0.0,0.0,0.0,0.0
-17.080784490214636,-17.639576349801796,-18.117702943738184,-18.098338903849307
0.0,0.0,0.0,0.0
-15.888607644111813,-17.639576349801796,-18.117702943738184,-18.098338903849307
0.0,0.0,0.0,0.0
-16.229721567670694,-17.639576349801796,-18.117702943738184,-18.098338903849307
0.0,0.0,0.0,0.0
-13.765339029682444,-17.639576349801796,-18.117702943738184,-18.098338903849307
0.0,0.0,0.0,0.0
-11.09217115450373,-17.639576349801796,-18.044813162035787,-18.098338903849307
0.0,0.0,0.0,0.0
