action_TFC_000,action_TFU_000,action_TNC_000,action_TNU_000
0.0,0.0,0.0,0.0
-0.5,0.0,0.0,0.0
-0.5,0.0,0.0,0.0
-0.5,0.0,-0.5,0.0
-0.5,0.0,-0.5,0.0
0.0,0.0,0.0,0.0
-0.5,0.0,-0.5,0.0
0.0,0.0,0.0,-0.5
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
-0.5,-0.5,-0.5,-0.5
0.0,0.0,-1.0,-0.5
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
-0.5,-0.5,-0.5,-0.95
-1.0,0.0,-1.0,-0.5
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
-0.5,-0.5,-0.5,-0.95
-1.0,0.0,-1.0,-0.5
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
-1.495,-0.5,-0.5,-0.95
-1.0,-0.545,-1.0,-0.9950000000000001
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
-1.495,-0.5,-0.5,-0.95
-1.0,-0.545,-1.0,-0.9445500000000001
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
-1.495,-0.5,-0.5,-0.95
-1.0,-1.5354999999999999,-1.0,-1.399145
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
-1.495,-0.5,-0.5,-0.95
-1.0,-1.5354999999999999,-1.0,-1.399145
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
-1.495,-0.5,-0.5,-0.95
-1.0,-1.5354999999999999,-1.0,-1.399145
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
-1.495,-0.5,-0.54,-0.95
-0.99,-1.5354999999999999,-1.9,-1.399145
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
-1.495,-0.5,-0.54,-0.95
-1.9801,-1.5354999999999999,-1.9,-1.399145
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,-0.5891000000000001
-1.495,-0.5,-0.54,-0.95
-1.90801305,-1.5354999999999999,-1.9,-1.399145
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,-0.5891000000000001
-1.495,-0.5,-0.54,-0.95
-1.90801305,-1.5354999999999999,-1.9,-1.399145
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,-0.5891000000000001
-1.495,-0.5,-0.54,-0.95
-1.90801305,-1.5354999999999999,-1.9,-1.399145
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,-0.5891000000000001
-1.495,-1.495,-0.54,-0.95
-1.90801305,-1.5354999999999999,-1.9,-1.8042305
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,-0.5891000000000001
-1.495,-1.495,-0.54,-0.95
-1.90801305,-1.5354999999999999,-1.9,-1.8042305
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,-0.5891000000000001
-1.495,-1.983695,-0.54,-0.95
-1.90801305,-1.3819499999999998,-1.9,-1.8042305
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,-0.5891000000000001
0.0,0.0,0.0,0.0
-1.495,-1.983695,-0.54,-0.95
-1.90801305,-2.67991745,-1.9,-1.8042305
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,-0.5891000000000001
-0.6243755000000001,0.0,0.0,0.0
-1.495,-1.983695,-2.01664,-1.517380745
-1.90801305,-2.67991745,-1.9,-1.8042305
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,-0.5891000000000001
-0.6243755000000001,0.0,0.0,0.0
