action_TFC_000,action_TFU_000,action_TNC_000,action_TNU_000
0.0,0.0,0.0,-0.5
0.0,0.0,0.0,-0.5
0.0,0.0,0.0,-0.5
0.0,0.0,0.0,-0.5
0.0,0.0,0.0,-0.5
0.0,0.0,0.0,-0.5
0.0,0.0,0.0,-0.5
0.0,0.0,0.0,-0.5
0.0,0.0,0.0,-0.5
0.0,0.0,0.0,-0.5
0.0,0.0,0.0,-0.5
-1.0,0.0,0.0,-0.5
-1.0,-0.5,-0.5,-0.5
-1.0,-0.5,-0.5,-0.5
-1.0,-0.5,-0.5,-0.5
-1.0,-0.5,-0.5,-0.5
-1.0,-0.5,-0.5,-0.5
-1.0,-0.5,-0.5,-0.5
-1.0,-0.5,-0.495,-0.5
-1.0,-0.99455,-0.495,-0.5
-1.0,-0.99455,-0.495,-0.5
-1.0,-0.99455,-0.495,-0.5
-1.0,-0.99455,-0.495,-0.5
-1.0,-0.99455,-0.495,-0.5
-1.0,-0.99455,-0.495,-0.5
-1.0,-0.99455,-0.495,-0.5
-1.0,-0.99455,-0.495,-0.5
-1.0,-0.99455,-0.495,-0.5
-1.0,-0.99455,-0.495,-0.5
-1.0,-0.99455,-0.495,-0.5
-1.0,-0.99455,-0.495,-0.5
-1.0,-0.99455,-0.495,-0.5
-1.0,-0.99455,-0.495,-0.5
-1.0,-0.99455,-0.495,-0.5
-1.0,-0.99455,-0.99005,-0.5
-1.0,-0.99455,-2.436045,-0.4851495
-1.0,-0.99455,-2.436045,-2.8717777045000004
-1.0,-0.99455,-2.436045,-2.8717777045000004
-1.0,-0.99455,-2.436045,-2.8717777045000004
-1.0,-0.99455,-2.436045,-2.8717777045000004
-1.0,-0.99455,-2.436045,-2.8717777045000004
-1.0,-0.99455,-2.436045,-2.8717777045000004
-1.0,-0.99455,-2.436045,-2.8717777045000004
-1.0,-0.99455,-2.436045,-2.8717777045000004
-1.0,-0.99455,-2.436045,-2.8717777045000004
