action_ATK_nearest,action_ATK_nearest_weakest,action_MIX_lure,action_MIX_gather
0.08292,0.01,2.802
17.48720075,6.242183914,5.937871174
38.07216798,7.882811231,18.7746962
49.60436232,13.40278532,35.92564739
58.78272136,22.74266337,65.02582169
72.9132765,39.44657487,79.77540282
87.10007902,51.3795192,91.30875692
91.69678128,63.58177717,94.66047185
99.23684608,79.15036767,112.1621493
116.0976054,87.27805322,130.3067456
131.7831739,106.6735657,137.2919214
141.1455993,117.6283401,158.0403954
162.6961345,137.2090222,167.7347579
172.0858733,150.3529597,185.121171
176.6534836,160.0231669,191.963783
189.1195842,152.9437753,204.946396
202.2990401,156.9236726,226.9877125
219.3123672,160.0246315,237.3694967
227.1994378,169.9500074,238.8660466
231.482601,176.6572653,254.524004
239.9490189,187.5021346,272.2087944
253.5505589,193.8599571,284.022914
254.251589,195.4837245,283.3499213
252.842256,204.4953893,295.5955574
259.0853847,209.2064121,310.1575116
262.5011081,210.4665676,314.3890408
278.3194554,219.5658114,316.8094096
290.280556,234.4117734,330.1094746
294.233957,239.37005,343.6222225
301.7053569,245.0819911,344.6949624
316.537755,243.5754893,338.2008929
336.0685977,246.3374861,341.891235
335.8089922,257.4033689,346.7684347
337.9363147,262.2252702,357.5576811
337.3917506,264.556714,352.5644897
339.0253869,261.7104347,369.8324495
349.3378761,271.8257491,370.6085774
358.371485,277.2727193,369.5589824
350.4728791,284.5391218,376.428411
350.8083838,285.4638359,383.6349097
361.2749249,287.9659947,386.9293502
373.451965,292.896733,390.5566304
381.6125405,305.9473686,388.0952853
376.6533242,305.1815229,404.7239659
375.615147,307.9305865,407.010878
378.1606906,313.8288271,408.0484965
386.2326026,316.0353317,418.4331719
377.018919,317.1129265,433.0169442
386.3792791,329.3703937,438.1973791
392.5920943,335.7901828,444.9848267
405.2726168,336.3426968,443.7545123
