,action_TFC_finish,action_TNC_finish,action_greedy,action_noise
0090000F2106000F2106000F,-9.095561546788588,-12.878319566384073,-7.452499725273974,-12.154436781579342
0630000F2060000F2060000F,0.00017439009394297223,0.0,-0.0015664424646469122,0.0
0092000F2207000F2207000F,-1.194,-2.2800000000000002,0.7166101326674928,0.0
1086000F3400900F3400900F,0.0,0.0,0.0,1.2000000000000002
10A3000F2308000F2308000F,-0.9,-0.30000000000000004,0.0,-0.6637544939999998
00A3000F3208000F3208000F,-2.040811474212,-1.6107,0.9823254471340408,-1.4366146677624299
00A3000F3109000F3109000F,-0.3378147455831658,0.010189346967305314,-0.6300000000000001,0.0
00B3000F3209000F3209000F,0.0,-0.34089813070751884,-0.5928,-0.02028876867601853
00B3000F3109000F3109000F,0.0,-0.28315230136677527,0.0,0.0
00A2000F2108000F2108000F,0.5520600000000001,-0.05999999999999994,0.0,1.4985564767565525
00A2000F3108000F3108000F,0.007429306966055012,-0.30000000000000004,0.0,-0.23153975948009464
0091000F2107000F2107000F,-51.939532043388475,-51.362678849348185,-53.83247223999794,-50.95148025223011
0530000F2106000F2106000F,0.0,0.0,0.0,-0.6000000000000001
0530000F2150000F2150000F,0.0,-1.185,0.2004524275470983,0.91319816321132
0092000F2107000F2107000F,-0.588,-0.5950834554174,5.105618086297907,0.0
00A2000F2109000F2109000F,6.000000000000003e-05,-0.6000000000000001,1.4723949089999997,0.0
00B5100F3200B00F3200B00F,0.0,-0.6000000000000001,0.6000000000000001,2.9868640444135925
terminal,0.0,0.0,0.0,0.0
0631000F3106000F3106000F,0.25557694551965243,0.0,0.0,0.0
00A2000F3107000F3107000F,0.0,-1.1747055699089461,-0.5171397605496725,2.529443009105379
0092000F3107000F3107000F,0.0,-2.112,4.847208876455052,0.0
1093000F3208000F3208000F,0.0,-2.22,-0.012014519999999973,0.4077080924267321
0093000F3108000F3108000F,-0.30000000000000004,-0.6000000000000001,-0.9005644254127568,-0.5893114037822706
0091000F3107000F3107000F,-0.599925,-0.6599999999999999,3.8030972521121384,0.0
00A2000F2208000F2208000F,-0.26030919,0.4916544582600001,3.655918892224126,0.6000000000000001
0620000F1160000F1160000F,-0.57732132,-0.59999896948506,5.011635720229857,0.8089103751167385
0520000F2050000F2050000F,-0.020618516660889943,-9.38601966,-2.8016535248694687,-18.62635552007113
1000F00E1000F00E1000F00E,-0.10049174325876863,-0.05747464246482671,-0.09313776870558518,-3.2515943466345263
000C000F000C000F000C000F,-0.0980674896730019,-0.10452305630300732,-0.0635198565471881,-0.09736224612119082
0080000F0080000F0080000F,-0.013821971505742435,-0.0007289366648482262,-0.00022840273304043304,-0.005517487622063799
00A3000F3209000F3209000F,-1.1346,-2.4702320475166353,0.1333776159328448,-1.4530068785104235
A200000F2207000F2207000F,0.0,8.888610332637615,0.0,0.0
0091000F3106000F3106000F,0.0,-1.2000000000000002,4.973029983258806,2.0710704527734367
0092000F3207000F3207000F,4.924481115943654,0.0,1.7270056932194449,0.0
00B3000F3208000F3208000F,0.0,-1.2000000000000002,-0.24563639966338108,3.3068621659243598
0622000F2106000F2106000F,-0.5999072536554001,0.0,1.017488293829437,1.9112503097384546
0520000F2060000F2060000F,0.005429580822642337,-0.02160285759731199,-0.009479162840479876,-0.009058285567862714
1094000F3308000F3307000F,0.0,0.0,1.2000000000000002,0.0
1092000F3207000F3207000F,-1.2000000000000002,-1.8,0.7800000000000001,0.34171542318412323
1081000F2106000F2106000F,-0.30000000000000004,-2.203183452843719,-0.5000711559000002,0.0
0083000F3107000F3107000F,-0.6000000000000001,-1.1910978774887253,0.0,0.0
10A5100F4300A00F4300A00F,-0.6000000000000001,0.0,0.0,0.0
00B4000F3200B00F3200B00F,0.0,-0.6657,-0.30000000000000004,0.0
00A4200F4200A00F4200A00F,-0.6000000000000001,0.0,0.29836505449833484,0.0
0094000F310A000F310A000F,0.0,0.0,0.0,0.008584012062610802
0621000F2206000F2206000F,0.0,5.365171910838974,0.0,0.0
10A3000F3208000F3208000F,-1.4161354671601127,-1.8,-1.4074661862969904,1.1568640419570344
1095100F3300900F3300900F,-1.1827121735070731,1.8002057536276994,0.0,-0.9
1083000F3207000F3207000F,-1.16759999514,-1.5,5.604770803917851,0.0
D000000FD000000FD000000F,-0.01485697805453208,-0.023129175059464636,-0.011596845848128562,-0.09373588824483592
1091000F2107000F2107000F,0.0,0.0,0.0,-0.3599999999999999
0080000F3006000F3006000F,-8.99681482173507,-11.820000000000002,-8.984910418356717,-8.36437743886894
1073000F3207000F3207000F,-1.2000000000000002,0.0,0.0,0.0
1081000F3106000F3106000F,-2.9328000000000003,-1.8,-2.204187549731126,-2.483033176407347
0530000F2050000F2050000F,0.0,0.0,-0.0707004267142684,4.116257969032281
0093000F3207000F3207000F,0.0,-0.5922,0.0,-0.6000000000000001
9520000F2400900F2400900F,0.0,0.007098000000000002,0.0,0.0
00C3100F3400A00F3400A00F,0.0004439564549682249,0.0,0.0,0.0
00A4000F3308000F3308000F,6.6373314e-07,2.5953788675690945,0.0004040003740210846,0.0
00A3000F3307000F3307000F,0.0,-0.6000000000000001,13.151973813247059,0.0
0093000F3208000F3208000F,-0.6000000000000001,0.0,0.0,0.0
1093000F3109000F3109000F,-0.6000000000000001,0.0,-1.1938666850007218,0.0
10B3100F3300A00F3300A00F,-0.6000000000000001,0.0,0.9771,0.0
1094100F3300A00F3300A00F,-1.203,-1.7658652183430998,-1.2142729873099214,4.452311400995667
0094100F4200A00F4200A00F,-0.597,-1.78429239,0.033033165638067075,-0.6000000000000001
10B5200F4400B00F4400B00F,0.0,0.0,0.0,0.0
1094100F3200A00F4200A00F,0.0,0.0,-0.30000000000000004,0.0
00B2100F3200A00F4200A00F,-1.794966064109763,-1.2000000000000002,1.2000559326210027,-0.6000000000000001
00A5200F4400B00F4400B00F,-0.8994895831557419,-0.9899999999999999,-0.8700000000000001,0.0
10C6300F4320D00F4320C00F,0.0,-0.6000000000000001,0.0,-0.294
0092000F1107000F1107000F,0.0,0.006000000000000002,0.0,0.6107521084474956
0520000F3050000F3060000F,-9.690000000000001,-10.194600000000001,-8.99681482173507,-15.9546
0500000F2040000F2030000F,-4.508662457011076,0.0,-5.1000000000000005,0.0
0410000F2040000F2040000F,0.0,0.0,-1.2000000000000002,1.1867021089440901
1080000F2150000F3150000F,0.0,0.0,0.0,0.0
1070000F2150000F3150000F,0.0,-1.5,0.0,0.0
0081000F3206000F3206000F,-1.2000000000000002,0.0,0.0,-1.8
0083000F3207000F3207000F,-0.30000000000000004,0.0,-0.18565437133582227,0.0
0081000F3106000F3106000F,0.0360000054,0.0,0.0,0.0
00A3000F3308000F3308000F,0.0,0.0,0.0,4.398852196197502
1095000F3300900F3300900F,-4.545000000000001,-3.378211618409727,-0.9442073440774053,-1.392690045037933
00B3100F3300900F3300900F,-2.113287588284005,-3.590988546496494,0.5738496245726049,0.886519171503198
0095100F3300900F3300900F,-0.6000000000000001,-1.2000000000000002,-1.7997942463723007,4.81058247794559
00A3000F3108000F3108000F,0.0,-1.5,0.0,0.0
10A3100F3300A00F3300A00F,-0.6000000000000001,-2.3317701966684004,-0.2811792501633237,0.11284434390502045
0094000F3109000F3109000F,-0.06540000000000001,0.0,0.0,1.1140550321233276
0085000F3208000F3208000F,-0.26692081289742986,0.0,0.0,0.8724894581692187
0623000F3207000F3207000F,0.0,0.0,10.451945961094406,0.0
0530000F3106000F3106000F,0.0,0.0,0.0,1.8
0080000F3106000F3106000F,0.0,0.0,0.0,0.5883
0095000F2209000F2209000F,0.0,-0.5970000324719837,0.0,0.0
0095000F220A000F220A000F,0.03470475909,0.0,0.0,0.0
0091000F3106000F3107000F,0.0,0.0,0.0,0.901851925788
0083000F3108000F3108000F,-0.6000000000000001,0.0,0.0,0.0
0091000F2107000F3007000F,0.0,0.0,-0.6000000000000001,-0.21695318997366486
1094000F3208000F3208000F,0.0,0.0,0.0,0.80698919651895
100B000F100B000F100B000F,-0.014953926401162243,-0.013475118619467132,-0.010211889792423396,-0.08135347802658148
00A4000F3208000F3208000F,-4.012529986887383,-2.534114280885727,-1.40880606,0.2520922695698351
0094000F3209000F3209000F,0.0,0.0,0.0,3.4123507399974056
0092000F3108000F3108000F,0.0,0.0,1.5408939433800004,0.0
0090000F3060000F3060000F,0.0,0.0,7.805965803030866,0.0
