,action_TFC_finish,action_TNC_finish,action_greedy,action_noise
0090000F2106000F2106000F,-15.699792222675825,-2.7488676124119693,-10.545059071803966,-14.321756404286242
0091000F2107000F2107000F,-65.79940616157806,-61.53957951212131,-20.468556924157472,-65.95310507527475
00A3000F3307000F3307000F,0.0,-0.54,1.2805940160496267,14.493010265820262
00A3000F3308000F3308000F,-1.6477266300912534,-2.638736482629094,7.447824238155023,2.275097421690302
1095000F3400900F3300900F,-6.148254494855248,-4.85840965256766,-3.961979180101878,-2.143107879867891
00B3100F3300900F3300900F,-7.886493557519772,-8.303841135469623,4.255828868195386,-0.5363140507607268
0095100F3300900F3300900F,-5.6789313238541,-6.6574884393003915,2.443260488569901,1.9066648479281119
00A3000F3108000F3108000F,0.0,0.0,0.0,1.2212216642020635
00B3100F3200A00F3200A00F,-1.8,-0.8210839877651678,0.0,-0.30000000000000004
00B3000F3209000F3209000F,-1.8337405631251649,-0.765580910256071,2.9584649715096027,10.450955599207735
00B3000F3109000F3109000F,-1.2000000000000002,-0.5759320860805917,2.970162524766097,0.0
00A2000F3108000F3108000F,0.9554151028354392,-3.5495400000000004,4.362099755649971,-0.6830049742270992
0520000F2050000F2050000F,-1.1047894973736836,2.029105391826721,-6.38434322569508,-0.10997945221087613
0530000F1160000F1150000F,-1.327232401087922,-1.379386691121894,9.560321178726653,3.8073709550614474
1000F00C1000F00C1000F00C,-0.06106122333581891,-0.08001044239829774,-0.09253058329581029,-0.11614362860054202
1000F00E1000F00E1000F00E,-0.08495184883775739,-0.10623830851416083,-0.15637540015928142,-0.019962383313662565
terminal,0.0,0.0,0.0,0.0
00B3000F3308000F3308000F,-1.9605937484753453,-0.014141143905363758,9.522867164307904,0.6000000000000001
1094100F4200A00F4200A00F,0.0,-2.4000000000000004,-0.6000000000000001,0.0
10A3000F3208000F3208000F,-2.4502317000000002,-0.5432061372619074,-1.1150681271607348,1.8979214310893844
20A4200F3400B00F3400B00F,-2.4000000000000004,0.0,0.0,0.0
1093000F3209000F3209000F,0.055381678970516816,0.0,-0.10284729457326303,-0.7526471204323493
00A3000F3208000F3208000F,-2.939503775472003,-2.9866455058559946,2.8488781202516735,0.7646926718216802
