,action_TFC_finish,action_TNC_finish,action_noise
"(4, 4)",83.45556263299086,67.77785523541243,69.87311580704656
"(4, 3)",66.2955035534851,45.35524681405941,53.830790266765256
"(3, 3)",19.497187297515623,44.89668199317761,5.695152463066568
"(3, 2)",47.854610434014305,27.613636803346225,27.80950225925333
"(2, 2)",26.472366973101042,-2.5,-2.7154022726762577
"(2, 1)",28.052276083933926,-1.4398437499999996,-2.55
terminal,0.0,0.0,0.0
"(2, 0)",0.0,0.0,33.66713348798912
"(3, 1)",36.868001318524115,27.05020206459706,26.33083204365441
"(3, 0)",12.469585829062318,45.30970589513102,23.648647069489083
"(2, 3)",-9.37867348739159,-9.078984375000001,-1.9666401900588832
"(1, 1)",21.15936269706941,13.707565167444377,8.43680865069994
"(1, 0)",0.0,23.884593314028432,0.0
"(4, 2)",57.887736229761806,34.0991087984424,39.71852792478724
"(4, 0)",19.26565831787791,38.08453035540748,31.30883125604224
"(4, 1)",46.80557369525776,31.281786577430008,31.23764787916977
"(1, 2)",-2.0,27.899498557343374,9.644926938934937
"(3, 4)",-5.5625,-15.75,-13.328937464376661
"(2, 4)",-0.44080613865243135,-9.0,20.929032787723465
"(1, 3)",3.696252543119627,0.0,0.0
"(0, 2)",40.615268605739004,0.0,-0.5
"(1, 4)",-8.5,0.0,-4.0
"(0, 4)",32.061161470403384,0.0,0.0
"(0, 3)",0.0,17.15527940263294,0.0
