,action_ATK_nearest,action_ATK_nearest_weakest
ABF0F00F,-7.570467997098895,-9.503154662984198
46AB0F0F,-2.5717200000000005,-2.3343795600000004
F0ABF00F,-13.309051044666878,-13.029395857468579
C3FF0FF0,-3.5658000000000003,-4.093867605861715
C3AB0F0F,-2.02520742,-2.4960000000000004
AB460F0F,-4.709508675546001,-4.160102934
FFC3F00F,-2.8354411203835808,-3.48037686613542
C3F00FFF,-8.399986405151754,-8.4475106528262
F0F0F0FF,-7.007165162634937,-7.926890618793577
46FF0FF0,-2.6677867605861714,-1.2000000000000002
C9F00F0F,-1.8,-2.4000000000000004
C3F0FF0F,-9.905231574533635,-10.024206696629422
ABF00FF0,-2.4000000000000004,-3.8089661096912226
460FFFF0,-3.1620000000000004,0.0
46FFF00F,-7.7870791708944695,-6.40659694275261
FFF0F0F0,-1.8,-3.771457928996644
C30FFFF0,-3.58686,-4.275415620918
F0C30FFF,-1.7092090019019683,0.0
C3FFF00F,-6.447856770927709,-4.533852039304884
F046FF0F,-8.00779721033034,-8.433248675525531
FF46F00F,-4.7808330702,-5.0003598104862
FFC30FF0,-2.4000000000000004,-1.8
46F0FF0F,-1.9998000000000002,0.0
0FABC30F,0.0,-1.4878200000000001
F0C3FF0F,-0.762,-1.5671352
46F00FFF,-1.72230474,0.0
FFF0C30F,-1.2000000000000002,-1.2859016110920602
F0FFF0F0,-3.1144916466000003,-3.5170148394000007
F0F0FFF0,-7.980185211882001,-5.9400990675420005
F0460FFF,-3.6813133554600004,0.0
C30FF0FF,0.0,-2.479867605861714
F0FF0F0F,0.0,-2.016
F00FABF0,-1.2000000000000002,0.0
0FC3FFF0,-1.37909257613034,0.0
AB0FC30F,-2.360401898213034,-0.8305800000000002
0FF0ABF0,-2.7805707989145874,0.0
