,action_ATK_nearest,action_ATK_nearest_weakest
C3FF0FF0,-3.3600000000000003,-3.036
C30FAB0F,0.0,-1.8
F0F0FFF0,-1.8,-2.616
FFF0C30F,-3.42,-3.6
46AB0F0F,-1.8,0.0
F00FFFC3,-2.4000000000000004,-2.4000000000000004
C3AB0F0F,-1.2000000000000002,-1.8
F0ABF00F,-1.2000000000000002,-0.6000000000000001
FFF0F0F0,-1.2000000000000002,-3.0
F0FF0F0F,-3.0,0.0
ABF0F00F,-4.6765799999999995,-3.3600000000000003
F0FF0F46,0.0,-1.8
FFC30FF0,-1.2000000000000002,0.0
0FABC30F,-1.8,-2.5620000000000003
AB0F460F,0.0,-2.4000000000000004
0FC3FFF0,-2.4000000000000004,-1.8
AB0FC30F,-2.9658,-2.4000000000000004
C3F0FF0F,-1.8,-2.4000000000000004
ABC30F0F,0.0,-1.8
F0FFC30F,-1.2000000000000002,0.0
C90F0FF0,-1.8,0.0
ABF00FF0,0.0,-1.8
F0F0F0FF,0.0,-2.4000000000000004
AB0F0FC3,0.0,-1.2000000000000002
C30FFFF0,-2.07,0.0
