,action_ATK_nearest,action_ATK_nearest_weakest
0F0F0F,8.891579180900091,0.20297562301810468
C3F00F,0.0,14.516465761854638
F0C30F,-0.30000000000000004,9.949237034218223
0FC3F0,12.138273462426845,1.035
C30FF0,2.1,14.094964022057123
C30FFF,-0.6000000000000001,0.0
C3FF0F,0.0,0.30000000000000004
F00FC3,0.0,10.308819139664411
F00F46,4.686679853706989,-0.9
460FF0,0.0,11.97866658967391
terminal,0.0,0.0
0F46F0,0.0,6.355698533804663
0FF0C3,0.0,3.2830336164188276
0FB6F0,1.3901407033085917,0.0
F0F0F0,0.917499096010195,0.0
F0B60F,0.0,1.9448004145000823
F00F0F,0.0,3.5216780927595153
0FF046,2.3067735326577097,0.0
