,action_ATK_nearest,action_ATK_nearest_weakest
46F0F00F,0.0,4.395455336138787
F0F00F0F,-0.9714439870261775,7.049589672475167
46C30F0F,0.0,2.7139365007699405
C3F00FF0,0.0,10.764507118153839
F0F00F46,-1.8048431553742321,3.2578287568131232
C3F0F00F,-1.9288026267,7.3019936974335256
F0F0F0F0,-0.519,5.572409660224066
0FC3F0F0,-0.67449,1.810195643704548
460F460F,-0.18881632543014293,1.7868830506559066
F0F0C30F,-6.274751712897833,5.743513846624412
F00FF00F,0.0,4.614889465633214
F0970F0F,-0.3348767354543023,1.1383926851613522
0FF0F00F,-1.8889970700000003,5.291846256972419
46F00FF0,-1.828407,4.415715925108462
94F00F0F,0.0,5.870094555060714
F00FF0C3,-0.5208600000000001,4.7587884959735485
46460F0F,-3.0,3.3756122698396838
C30FF0F0,-2.13,6.467472067820395
F00F940F,0.0,-0.8704334534148506
F0F00FC3,0.00890765182577502,-2.1375424333922606
C3C30F0F,-0.6000000000000001,0.0
C3460F0F,-1.8,1.8133613632381151
F0C3F00F,0.0,5.4801961539145765
F0940F0F,0.0,2.927900523379526
0F460FC3,0.0,1.05192981
F00FC3F0,-1.1196961410942579,0.0
F0C30FF0,-1.308,8.831591316454555
97F00F0F,-1.8,2.5507684564751183
940F0FF0,-0.9300000000000002,0.12949593011740854
F00F0FF0,-2.146024223598416,0.845329717428194
0FF0C3F0,-3.9055775032251225,-0.30828807573636974
0FF0F0C3,-0.9612589800000001,2.0362391426741326
F0F0460F,0.0,3.4196683185812877
0F0F94F0,0.0,-1.3375094725362786
460F0F46,-0.39889662734310294,0.0
0FF00FF0,0.0,2.2881846883412407
F0460FF0,-1.7629086305833124,1.231249826826175
0FF0940F,-0.09254615449059989,-0.25055279700154887
940FF00F,0.0,1.5233666154427645
F046F00F,0.0,1.9381417374519243
0F940FF0,-0.18122531064847605,1.1331551045537105
970FF00F,0.0,0.629398778336163
460FC30F,0.0,1.3697136363596618
460FF0F0,0.0,0.885143679333708
