,action_ATK_nearest,action_ATK_nearest_weakest,action_MIX_lure,action_MIX_gather
F0AB,0.0,0.20999999999999996,0.0,0.0
0F0F,0.2776294792471793,3.3922199959775847,-0.8953628981010147,0.0
0FC3,1.8,0.0,0.0,0.0
5A0F,-1.2000000000000002,0.0,0.0,0.0
0F5A,-0.9,0.0,0.0,0.0
C30F,0.0,0.0,4.0690667886767615,0.0
C3F0,0.0,5.444539497828422,0.0,0.0
ABFF,-0.546,0.0,0.0,0.0
terminal,0.0,0.0,0.0,0.0
AB0F,0.0,-0.3646672483939448,0.0,0.026708241489227236
0FAB,1.2000000000000002,0.0,0.0,0.0
C3FF,3.700216784808688,0.0,0.0,0.0
0A0F,0.0,2.2243953187914562,0.0,0.0
ABF0,0.0,0.0,1.7400000000000002,0.0
FFC3,0.0,0.0,0.0,1.3608900000000002
0FC9,0.0,0.0,-0.08557164381884937,0.0
F0C3,0.0,0.80020124502867,0.0,0.0
970F,0.0,0.0,0.0,0.0
