,action_ATK_nearest,action_ATK_nearest_weakest,action_MIX_lure,action_MIX_gather
0F0F,2.3148337881863643,7.447936339609644,1.8668544576912773,1.586198461301654
terminal,0.0,0.0,0.0,0.0
FF0F,0.0,1.3279488068989973,-0.6695126342361254,9.548053485681352
0FFF,0.30000000000000004,0.0,5.090910282208076,0.0
C3FF,0.0,0.0,0.0,0.48077463033173
F0F0,0.0,0.7685598660224051,0.0,0.0
C30F,0.0,0.0,0.0,1.8832542750177061
FFFF,3.553960867065923,0.0,0.0,0.1587037558015791
C90F,0.0,0.0,-0.08537909674512423,0.7681663441659674
0F0A,0.0,-0.30000000000000004,0.0,0.0
0F46,0.0,1.9190638623801504,0.0,0.0
460F,0.0,0.0,0.1379753726669776,0.0
FF46,0.0,0.0,0.0,-0.5560194369368537
