action_TFC_000,action_TFU_000,action_TNC_000,action_TNU_000,action_TFC_025,action_TFU_025,action_TNC_025,action_TNU_025,action_TFC_050,action_TFU_050,action_TNC_050,action_TNU_050,action_TFC_075,action_TFU_075,action_TNC_075,action_TNU_075,action_TFC_100,action_TFU_100,action_TNC_100,action_TNU_100
-6.0,0.0,-3.0,1.35,-4.5,6.0,-6.0,-1.5,0.0,0.0,4.5,-9.15,3.0,-3.0,0.0,0.675,16.425,1.5,-0.14624999999999977,1.5
-55.589040565454056,-2.2764009588543495,-28.42125,-32.696930702943064,-22.8,-13.751597321334682,-7.944181278221231,20.433307394531248,-13.649999999999999,4.5,97.58108478243786,-6.49449390675904,32.06260063862943,24.633918724488943,28.44981615148933,-7.667388816718795,14.783859375000002,22.917051863463996,-13.64625,-11.755210462700063
-104.3386857915055,-42.65391695683317,-45.564858838175674,-27.320000413797516,-51.6017547423306,-33.88333135785097,-22.137220419050834,75.87915469670027,9.147402448205792,-0.9919982578125008,102.87455955045941,-19.72920418381299,100.0643054764341,27.89474538318329,11.109489223799208,-25.8886693545983,72.12856727658604,56.84696688531486,-49.8436875,32.16152484928989
-123.10011963980894,-28.99074377461565,-55.046577145732165,-28.263972108501957,-68.3030822690645,-38.30127171783988,10.28440073566992,52.1252832179533,-2.8234029654065083,-1.1610479375131053,112.42547031795941,-19.939049955538966,112.28196478717476,26.669435239051666,10.980453197708105,21.79516599659388,85.7967746782438,176.2781431589247,-73.8486748798529,9.36110262383701
-171.49078317104153,-10.248245207314483,-90.48949163192138,-10.36483381410649,-59.25932417757478,-52.83719153176041,18.565228159591975,79.48452047052956,-20.62586991883747,-11.611033824663286,125.73657200240292,-8.915422971053507,128.74371128162608,55.145593166271354,52.11055486129124,53.18562361148598,11.383664633920464,228.255970434652,-67.27163807625956,12.395690712819967
-185.03205292759162,9.424690692621176,-104.07718244727064,-26.273320532426343,-49.1954478552841,-32.72795077463705,21.783364255650415,96.87388363883151,1.494980693590307,-16.788217513074635,139.5397407345476,-31.527050644485772,130.26311470612885,83.81838927342687,34.38973613384027,63.85979277704847,20.011706629512336,279.1148016310664,-60.20233902489487,0.11413303106774464
-208.88811335017124,23.67426343309779,-118.88599807227065,-25.106987469954017,19.6580348320134,-36.0098182550383,23.155571105001723,111.62591383749745,-14.199735796277881,-19.906207286635084,152.3613316812496,-22.48480681345139,125.04252745251011,132.64464153043025,56.41638590137789,106.39334288501772,14.298424705242823,258.3844203644186,-93.58037383368213,-13.265839731679222
-211.89752379600918,-4.273081390028846,-96.26119104626031,-30.694027414611224,19.1031352611627,-4.640295075718983,37.59382044537311,107.26050788089233,35.32967482105606,-10.807506985473289,173.3840016883483,17.291719808878284,141.83077360567947,141.14786584098687,47.37481380691787,84.94925409462,31.221856897740487,237.6468280481545,-90.92242728521268,2.2087860090467117
-220.73716904798982,-5.067694072975195,-89.46283047289003,10.036914012760143,26.56322814655897,-23.570579795621192,58.12256850620919,111.52333280840811,43.10268396730753,-11.973948228408316,193.6425726558485,37.147672652641404,180.8179057413071,141.07649994278336,67.49370680558332,86.7762782340604,29.52723726556489,253.41597041041933,-104.90062735465675,-4.205911084517215
-226.0909770574536,-20.12386966264985,-27.848414531106364,19.92582250392132,27.54230339474349,-16.854950866443907,37.92803711459294,104.19055017366317,52.488095504158366,-34.75721653247473,153.40200694558058,24.083808525047594,195.53996232196653,184.16624663249942,100.93504998484312,87.99979921911711,3.394591998018903,273.4861341683621,-105.3436817212921,14.707275568335419
-231.0331218708775,-5.044050962673477,-35.25296148905748,22.8468896971966,53.586916308959246,-8.783686071791301,35.17949294257609,131.30422633358532,64.84753472898626,-49.91347455717473,203.88891959368019,59.906437733478896,203.77468794250595,179.4016432989916,68.83007936112394,79.9400994333561,8.793833515399342,272.62745744408994,-113.97832951069178,11.602958567091793
-228.68855247495597,22.502737820057302,-35.06875790352967,30.086381676207274,42.65880077166787,-24.571754329258546,44.794194582041385,151.2902809293531,59.61000882545399,-43.899023953286395,187.08274857028874,71.18970054338764,247.8064868327209,171.83705443745936,83.17709748148917,93.16586752824705,34.3939933784334,252.20171584887902,-120.54783654205042,15.496829217612191
-216.71285501239967,22.775176688273998,-39.1002463653587,33.58513719067866,78.38006700781665,-52.14955269656549,44.982840632208124,173.07118593480473,76.18465659959615,-47.8236526803965,193.70094625078843,93.04153562279072,226.88740560369328,183.5913505382804,108.16184555921225,110.38431214570251,43.26944892508593,267.07392103911513,-131.96889607311215,11.554063243569296
-207.98099255172048,20.309561410549144,-35.91296646394888,42.174601919116505,87.31763889151706,-56.468495288281346,35.19275532679453,179.0584730406693,83.29975576534878,-3.946693417971524,217.04767410606703,101.48111454970785,243.14483952712612,182.6289937591516,137.15182820959677,109.76813174969928,23.856383698921306,238.15890249085834,-112.08716151117648,-6.127052916822617
-195.92383417525193,36.343400068345865,-26.293407780310737,20.41410661380453,76.49698988703923,-49.04511926533851,90.97650465138815,172.02929816845634,77.95099478695458,11.137238307915077,199.0819258134534,125.6766204008334,225.84711351846306,166.6311639538809,114.6876602109483,137.58778681839743,22.627889844648386,216.66734123142348,-110.05103268170487,3.6543334350650376
-205.08141483436458,44.44704070295106,-25.717546471697208,40.940944420575626,114.56333537250785,-55.41245072775557,70.86218651387139,193.58250748281847,97.9338824966244,53.53562215265713,213.04423481450527,165.496953972645,262.16960280352083,127.60884321630282,96.00145429255484,143.53910740481086,31.248322277057753,221.30652936784549,-121.2093524220584,-22.696686053046882
-216.4774202526118,59.08850051817769,-10.667531611648258,44.958267655722864,169.91936920572965,-37.351997414549366,105.23990807165711,216.3519510680311,97.58743185004144,71.83073300354383,212.01937635302676,165.55133391430525,227.43374303845957,146.0948491861144,110.40024158343806,143.50784253447992,30.11584645837221,217.89131175702784,-120.33297648763347,-18.79118952662048
-221.25982177786824,49.88239452797448,-8.237595483225043,26.965086795988476,146.46860738068392,-27.16351349628461,146.02030635784217,206.21150835115947,94.54556086220458,105.52037979436105,247.6277444273375,192.3618864987582,263.1554228053182,151.13285653972326,139.05844266659656,141.65984398307774,33.90852899391818,240.5454776638273,-103.6169281656768,0.48229168367410935
-249.25569124148285,71.38368481512387,-32.55438997468173,37.79320050832587,130.8625148259097,-40.11608497771161,194.8487586464726,275.8841618996399,113.51599158071039,102.53226808171885,230.62755479754765,160.44128443840185,268.9403083483847,139.17051542142562,144.12207431401572,88.15774396167478,30.95431579127613,257.8955108896448,-103.6169281656768,24.298575294707824
-271.75887592349756,69.20788269257608,-67.6685350210562,34.92613866927042,108.23852401683881,-30.111745384870503,209.4308480997895,272.7996526856199,138.18440582578938,128.4242507678173,247.7626765293435,197.5669629927518,287.60878676876297,151.286686850533,155.73426908704567,167.60790090152756,32.808345835690545,242.30837858815624,-115.89379650196287,23.225129076893744
-267.90461843301017,63.0475019232809,-82.03070259551775,32.87700833378116,113.2466893532898,-22.70042980546698,190.96768936013348,273.8403384111498,158.09523562065635,140.6228882517028,248.69228116101044,206.6681282040298,288.37151882260474,170.38315880149815,145.1870291401756,178.2550606825943,34.550748260680336,260.70842452572236,-83.92000387796475,36.14335760779418
-264.4649365285606,79.85298037918308,-75.17240935706346,29.792439903554083,119.03651017104255,-29.629972787519172,195.86463389941545,291.39314831922695,159.22457641769589,123.21710300854888,260.73998045545505,249.3373632736769,265.1596695490852,168.01229283641905,145.87102403969544,168.86078200035342,56.464259261361306,240.26441101016417,-101.16348320578408,56.943787436807185
-283.9518037003932,95.44976426831514,-92.00017763263241,6.413570162759922,128.98248031083477,-17.733458067747847,181.73655054334665,306.0974789728873,158.9048157469329,134.34621232741966,290.64243828960616,241.2913054454937,276.70055239913705,171.40760855736193,154.99397225626467,173.1034124319468,101.92351982199885,244.6968658439368,-99.4306087343982,57.49522645809895
-291.23034707307005,118.9091143770952,-71.20935506947325,-2.3044188419318923,146.28648748550103,-25.394411473910928,183.7166875481994,343.8453228211031,138.6121719452397,139.30801153834275,308.2555881646377,256.3272981270936,296.735452636162,204.41648904941047,156.69605466519056,170.22635227235466,96.36118059869371,272.56352435160113,-53.23614028658821,55.17841856735165
-273.38077908209124,116.13333721095825,-54.951742935674915,11.6251194722233,159.51401149775518,-20.254226370473248,221.82288444999784,338.13874269383143,176.68554525370126,138.80741919883133,285.8913923200901,279.5265327762655,293.9406810228768,213.8089434578115,173.04006074093618,170.79013480605286,98.93389905498157,263.71544157881135,-54.29315867884313,71.52951127668915
-288.32878423049107,149.3657083297051,-49.91577332982226,18.88649053014266,151.04374868007955,-19.022230846569684,218.9777342704113,360.03923049367086,150.21916959105732,181.15738162328606,324.0951833372776,275.4719289132516,314.38007035185734,204.4078821268986,165.83362280392447,176.4196981732599,96.1105488813454,265.2252567311567,-68.01991350133076,68.6170179831819
-255.1156059288846,173.52544555082687,-32.24076448099386,33.27341586296453,151.04374868007955,-4.75051223928417,234.4515592123178,377.8298160503293,179.1808243335962,201.58996611040186,304.6089101996687,279.5856723313161,329.8270408068012,221.92711597307368,185.85668514176055,190.5013133299165,109.77920235992619,296.8261277066966,-39.7169694581314,94.58653266155959
-261.45344025649916,191.92539353874582,-53.47871595236545,67.79702646618628,163.4469804145582,10.568203535961217,222.0771480197953,394.7294232060071,180.12657092390236,200.90179978768356,307.0333552325079,300.12018895383716,348.5473174568274,220.0924727575171,186.71678117844425,218.51817292620726,118.43696455878988,352.88230049439227,21.761714076653206,107.32785419895632
-262.5029733352143,190.0958969093386,-76.01157261659475,55.18978590180645,179.5451388727828,10.144660441193366,237.58043861407606,390.4568382468996,204.3655729551856,261.5981076055306,309.2927695720984,311.83435565853506,375.6488550544322,269.899660448093,181.32185844538935,199.3898499253756,121.40590315908446,337.79458914588537,58.6961040239507,133.21212010666565
-280.50773940721166,183.6348020570588,-71.92603274906087,50.927953642061375,202.10485877185994,45.92207737032267,224.0658302939371,411.56078308634676,208.714070693217,253.87520478475375,305.79900952893126,308.401053501354,381.22222821443427,293.07029635709006,191.27449556548854,252.17847741736568,120.32684040281879,353.4589387811682,67.15970266759473,140.8690900057809
-289.9580304117368,192.10809673537466,-61.19728517948014,54.78171022187338,231.8420228687698,9.439084463119503,247.75356010071218,399.32501782502675,223.70316122719407,244.35863746462263,326.87375340621367,338.21481932349644,391.61908364704,337.38255468469043,203.79786797578777,249.04592862322346,129.47978214532992,346.35938719960126,50.4943682151145,175.2153374348979
