,k_means_000,k_means_050,k_means_100
00A6200F3410B00F4310B00F,10.346426535867016,-5.80100816343395,-0.555075402095057
10B5500F4410C00F4410C00F,2.3508,-1.2000000000000002,-1.8
00B5500F4420C00F4420C00F,-0.9,1.5055500000000002,-0.30000000000000004
00B7300F4420C00F4320C00F,1.2000000000000002,0.0,0.0
00C7400F4420C00F4420C00F,-2.4000000000000004,0.0,-0.9
00C4500F4310D00F4310D00F,-3.7767485977763466,-4.422256194,-0.6495671644739196
00B4500F4310C00F4310C00F,5.320541527664288,-2.0695099876823173,-1.3097425858735214
00C4500F4400C00F4400C00F,-0.9,-1.7889766911,-3.1500000000000004
00C5400F4500C00F4500C00F,-0.8400000000000001,2.1253555269823905,-1.2000000000000002
00B6400F4320C00F4320C00F,-1.2000000000000002,-1.62,-0.30000000000000004
B631000F4330C00F4330C00F,0.0,0.0,0.0
A630000F3220A00F3220A00F,0.0,0.0,0.0
A210000F3307000F3307000F,0.0,0.0,1.5
8300000F2206000F2206000F,34.48039760058314,0.0,0.0
D000000FD000000FD000000F,1.9685090259553493,3.2018517925000793,1.7625872133069842
terminal,0.0,0.0,0.0
10C5400F4410C00F4410C00F,5.463443114467273,-2.3303988633567316,-5.672713956708728
00C4500F4410D00F4310D00F,-0.5184876655855228,-3.6835572408920534,-2.9287583315183023
00C4400F4410D00F4310D00F,2.4404394799761944,0.0,0.0
00C6300F4310D00F4310D00F,0.0,-0.9,0.0
00C6400F4310D00F4310D00F,-1.2000000000000002,-1.2841526189654537,-0.2875412071175063
00C4400F3500C00F4400C00F,-0.42734502426359344,1.8573624222761076,13.924702807280095
00C4500F4500C00F3410C00F,-1.613183615148825,1.7462264625098123,5.500029748164324
00C4500F4320D00F3320D00F,0.0,0.0,4.351192037854164
00C4500F4500D00F3320D00F,-0.4288534461660739,-1.7840292905884292,11.912421046401597
00C4500F2700D00F4400D00F,13.486975797536017,0.661839675872002,1.737769927212725
0096100F4400A00F4400A00F,0.3949377237463518,0.0,2.1760188729874947
00A2000F2208000F2208000F,9.652953554738797,3.1829357602585286,3.6555754015112916
0096000F3209000F3209000F,0.909182578466148,8.974317288154296,1.6763722742998743
0092000F2207000F2207000F,7.74822857557189,0.0,-0.6000000000000001
00A2000F2207000F2207000F,6.080209037037472,0.0,-0.3602730556834921
000C000F000C000F000C000F,1.7293090012333474,1.5928176148131563,1.7000181362922777
