,action_TFC_finish,action_TNC_finish,action_noise
0090000F2106000F2106000F,-12.31997843642143,-5.053767251770789,-15.246017398782994
0091000F2107000F2107000F,-65.87973376342501,-52.548810077930185,-73.34105461308955
0530000F2150000F2150000F,2.076715400998417,-4.479425230268713,-1.0737207433418927
0092000F2207000F2207000F,0.0,-0.5375956644076699,5.849764742168731
0631000F3106000F3106000F,0.0,0.0,13.43701301034837
10A3000F3208000F3208000F,-4.074824972721304,-5.017886152877452,-2.4249992117740025
1094000F3208000F3208000F,-3.0231102656642275,-3.052554,-0.37107937390252355
10A3100F4300900F4300900F,-2.4000000000000004,-3.42,2.8887780000000003
00A3000F3208000F3208000F,-3.1230001859407146,-2.9582680781392776,3.1991617150680685
00A2000F3107000F3107000F,-0.4982224285330005,-1.5,-0.6000000000000001
0095100F3300900F3300900F,-1.4441500790491277,-2.4545278911078263,-1.609019306868
0092000F3107000F3107000F,-1.7647729691164447,-3.239532425728261,11.680543215598785
1083000F3207000F3207000F,-2.2658652034827926,-2.7344431077973934,5.60675688152088
1094000F3308000F3308000F,8.583137684522974,-0.5145281308604,-0.29754600000000003
10B4100F3400A00F3400A00F,0.0,0.0,6.950160872464318
00A4000F3308000F3308000F,2.9987223197646085,0.11439956842754724,7.0956341644486445
D000000FD000000FD000000F,-0.1362031146562157,-0.2765103007705317,-0.2537552928110253
terminal,0.0,0.0,0.0
00A3000F3307000F3307000F,0.8747517947332684,0.0,0.0
1094100F4200A00F4200A00F,-2.6729609387613036,-6.484054219833201,-1.9235316913691363
1094100F4209000F3209000F,-0.02462658612389387,-0.47322,-1.8
1095000F3300900F3300900F,-1.0313677477795395,-5.628227366113138,-2.985175087320458
1083000F3107000F3107000F,-3.945120603922387,-6.4900590748800004,-1.3684941968106068
10A3100F4200A00F4200A00F,-0.2943,-0.6000000000000001,0.0
20B4200F3500B00F3500B00F,-2.4000000000000004,0.0,0.0
1093000F3109000F3109000F,-0.6119097679520027,-1.2000000000000002,-1.4326793293419922
00A3000F3209000F3109000F,0.0,-0.5481161062555499,-0.30000000000000004
00A3000F3109000F3109000F,-2.356922509578501,-0.9,3.255072284343126
0094100F4200A00F4200A00F,-1.920919156702364,-2.60706,-2.050120330971462
00A5300F3220B00F3230A00F,0.0,0.0,0.0
0623000F3207000F3207000F,0.879759894354869,-0.588,15.989764102317501
1082000F3107000F3107000F,-0.31857499583779075,0.0,0.2948781307049116
1091000F3007000F3007000F,-0.3935440521559579,-2.1,-0.7716238508947493
0091000F3107000F3107000F,-3.529945544761826,-6.408993328870285,-1.157256881551415
1093000F3208000F3208000F,-4.959505804069813,-9.489746491641641,3.5796442318351422
0081000F3106000F3106000F,-0.5259156757342983,-1.8,-0.6000000000000001
0091000F2106000F2106000F,-0.7021465083000391,-1.1808606569364195,0.539720378419031
