,action_ATK_nearest,action_ATK_nearest_weakest,action_ATK_threatening
87F0,-1.8508183236520281,-0.7020179500000006,0.33
A8FF,0.0,-0.10879999999999992,0.0
86F0,-3.5092113166285843,5.910785572033487,-1.9619
95FF,-9.849662080600384,-10.384684133438508,-10.19394083093589
F046,0.0,0.0,-1.9441917244993179
F087,-0.2601583000000003,-1.2411900340917703,-1.2000000000000002
FF95,-5.085240584751785,-5.27178318723721,-5.745521047379248
46F0,2.1284174759591696,0.0,0.0
AB0F,-3.1710986733698165,-4.925251824035101,-4.044884346803031
F00F,0.33323400000000003,0.0,-1.7770905292794974
0F8B,0.0,1.8805948000000001,0.0
F0C3,0.0,2.47763532,0.0
97F0,-9.261401682980683,-9.738234178195189,-11.290665917897316
FFF0,0.0,0.0,-1.0142920697700002
0FF0,2.19,-0.09322045128812895,0.0
terminal,0.0,0.0,0.0
0FFF,-1.2877530066548002,0.0,0.0
F0F0,0.0,0.3400000000000001,2.5677641656861616
F086,0.0,-2.100093979593463,-0.8369131274208276
C3F0,0.0,-1.600849933463775,0.0
FFA8,0.0,0.0,0.058407954871187134
0F97,-1.463367291426018,0.0,0.0
B60F,-1.8399999999999999,-3.141474737773111,-1.4203496161098286
0FC3,-0.887639861628692,-1.3344187882086604,-1.4102511750547757
C30F,-2.8412988392583403,-3.5097495923260693,-3.1397024006547056
F097,0.0,-1.8882712699345838,0.0
0FAB,-1.3384705288681549,-0.07825966797307235,-0.07043370117576511
C90F,-1.151753167379954,0.0,0.0
880F,0.0,0.0,2.19
970F,0.0,-1.415610684566476,-1.414085604996858
FF0F,0.0,0.0,1.1700000000000002
F0FF,0.0,0.0,-1.3541050874615923
0FC9,0.0,-2.3319507674344395,0.0
