,action_ATK_nearest,action_ATK_nearest_weakest,action_ATK_threatening
0F0F0F,1.6570205220605874,1.5912629088544779,0.3472964365064854
terminal,0.0,0.0,0.0
F00F0F,0.0,-1.656,4.59872069959402
0FF00F,3.0182587194919446,0.0,0.0
0FFFFF,0.0,3.4273613092537287,0.0
FFFF0F,0.0,4.797678456345357,0.0
0F0FF0,0.0,0.0,1.6592006349244692
FFF00F,-2.0100000000000002,-1.3399999999999999,1.8883715528230045
0FFF0F,-0.8611,1.5931067364381797,0.0
0FFFF0,0.19808069551331559,0.0,-0.2659702305479212
FF0FFF,0.0,1.01,0.0
FFF0F0,0.0,0.0,-0.5100000000000001
0F0FFF,0.0,1.6408058255641165,0.0
FF0F0F,5.410646325273401,0.0,0.0
F0FF0F,4.411796560438313,-0.16999999999999993,-0.22162686091969674
AB0F0F,0.0,4.483919532132279,0.0
0FAB0F,0.0,3.233683889045968,0.0
0FF0FF,0.0,2.2521453064874963,-0.7597982782916997
FFFF,-0.09598352359550649,0.0,1.7958616581287319
C30F0F,0.0,0.0,0.9971345653621924
FFF0FF,2.887906566582653,0.0,0.0
F00FF0,0.4220926947390514,0.0,-0.20239619506409126
F0F00F,-0.16999999999999993,-0.5089758552630733,-0.05667461375708464
F0F0FF,0.25157514613399995,0.0,0.0
0FC30F,-1.1895617893339931,0.0,0.0
F00FFF,2.060823914566286,0.0,0.0
0F0FAB,0.0,-0.30582665528178393,0.0
0FFFAB,0.0,1.115701915979563,0.0
FF0F,0.0,1.8024684858703648,0.0
FF0FF0,-0.0616652684991045,0.0,0.0
