,action_ATK_nearest,action_ATK_nearest_weakest,action_ATK_threatening
F00F0F0F0FF0,0.0,1.4975708510096322,0.0
0FF00FF00F0F,1.8611457073125641,0.0,0.0
0FC30F0F0F0F,-0.2578540863709784,0.0,3.2762004221346066
0F0FC30F0F0F,0.0,0.0,-0.30542376053453846
F00FF00F0F0F,3.593782628262736,0.0,0.5299726278417681
F00F0FF00F0F,6.1821777809497735,0.34000000000000025,0.3770789892063583
F00F0F0FF00F,0.0,3.846931064237455,0.34000000000000025
0F0F0F0FF0F0,0.0,0.34000000000000025,0.0
0FF00F0F0FF0,0.34000000000000025,0.0,0.0
460F0F0F0F0F,6.814050348766573,0.0,0.0
0F0F0FC30F0F,0.0,-1.8449466264261143,2.682032339963177
0FF00F0FF00F,0.34000000000000025,4.128489141276001,0.0
C30F0F0F0F0F,-1.5457499655127176,-2.0200000000000005,2.6946705776146627
F0F00F0F0F0F,0.3749748250660003,2.3870999999999998,9.013988300403009
0F0F0F460F0F,0.0,0.0,2.0409607695622043
0F0F460F0F0F,0.0,0.0,0.34000000000000025
0F0FF00FF00F,0.7102854435940005,0.0,0.0
0FF0F00F0F0F,0.0,2.4880916121000696,0.0
0F460F0F0F0F,3.1856813195265916,0.0,0.0
