,action_ATK_nearest,action_ATK_nearest_weakest,action_ATK_threatening
FF0FFF0F,0.0,0.0,0.1656113280000001
0FAB0F0F,-1.2051472368071818,-0.8889383000000002,-0.8500000000000001
FFFF0F0F,-1.5299999999999998,2.5451651802532727,0.0
F0ABF00F,0.0,0.0,-1.7000000000000002
AB0F0F0F,-1.4757000000000005,0.9012783730565008,0.0
0F780F0F,0.0,1.18,0.0
0F0F0F0F,-0.03673179549999994,0.4825489823773208,1.0788914914673808
F0F00F0F,-0.471163,-1.6595000000000004,5.3768898129044205
F0FF0F0F,-0.6700000000000002,-1.2163726726454096,-1.35
F00FF00F,0.0,4.454891900252664,0.0
0FF0F00F,6.411145932804895,-1.6800000000000002,-1.8372826700000005
FFF00F0F,0.0,-0.5799947000000004,0.9931052177015067
0FC30F0F,-1.6564300000000003,-1.19,2.6169792976283537
F0F0F0FF,-0.74423,0.0,0.0
0F0F460F,0.0,0.045810000000000003,0.0
F0C30FFF,0.0,0.98058,0.0
F0FFF0F0,0.0,0.0,2.1700000000000004
0FF00FFF,0.06400000000000006,-0.67595,0.0
F0AB0FF0,0.0,0.0,2.116293
FFF0F0F0,0.0,2.2812220000000005,0.0
F00F0FF0,2.884675278192194,-0.035600000000000076,0.0
C30F0F0F,-1.18656,-1.8820068602504674,1.3736369706065628
0FF0FF0F,0.0,0.0,2.93175284248211
F00FFF0F,0.0,0.0,2.604371922033609
0FFF0FFF,-1.3399999999999999,0.0,0.0
0F460F0F,0.07471859130000001,0.0,-1.0310005877121
460F0F0F,-0.7693398905029059,0.0,0.0
0FFF0FF0,-1.3399999999999999,0.0,0.0
0F0FAB0F,0.0,-1.3400000000000003,-1.1498938300000001
0FFFFF0F,-1.7593304538533818,0.0,0.0
terminal,0.0,0.0,0.0
C9F00F0F,0.0,0.0,-1.4744926224635302
0FFFF00F,0.8495461458273443,0.0,-1.0959467092539494
0F0FF0F0,0.0,0.0,0.9464000000000002
