,action_ATK_nearest,action_ATK_nearest_weakest,action_ATK_threatening
FFFF0F0F0F,-0.01999999999999993,0.0,0.0
0FAB0F0F0F,-0.754,0.0,2.36
0FF00FF00F,0.0,0.0,1.5
F00FF00F0F,0.0,-0.1700000000000003,0.5668
0FF0F00F0F,0.0,0.0,2.1456215240000005
AB0F0F0F0F,0.0,0.45592172233285755,0.0
FF0F0FFF0F,0.0,0.0,1.51
0FFFFF0F0F,1.0100000000000002,0.0,0.0
0FF00F0FF0,0.0,2.2562040000000003,0.0
0F0FFFF00F,0.0,0.0,2.5100000000000002
0F0FF0FF0F,0.0,0.0,0.0
FFF00F0F0F,-1.1700000000000004,-0.8500000000000004,2.0099900245786437
0FFF0FF00F,-0.1700000000000003,0.0,0.0
F0FF0F0F0F,-0.5100000000000001,0.0,0.0
0FF0FF0F0F,0.0,0.0,0.0
0F0F0F0F0F,0.0,7.213060545985761,0.0
0FFF0FFF0F,0.0,0.0,1.01
0F0FAB0F0F,0.0,0.3357475500995719,0.0
F0F00F0F0F,-0.29951497754213546,0.0,0.0
0FFFF00F0F,-0.02082455086128139,0.0,0.0
