,action_ATK_nearest,action_ATK_nearest_weakest,action_ATK_threatening
F0C3F00F,0.0,0.0,0.6700000000000002
C3C30F0F,2.4960000000000004,0.0,0.0
F0F0F0F0,0.0,0.0,3.4056474976041997
0FF0FF0F,0.6699999999999999,0.0,0.0
0FF0F00F,-0.21570424016495782,-0.2691618332802639,2.225804077922404
F00F0FF0,0.0,3.8552639109773543,-0.6700000000000002
F0F00F0F,5.820349023194296,-0.7952657596398254,0.0
0FF00FFF,0.0,0.0,-1.5782000000000005
F00F0FFF,0.0,-1.19,4.738453398341643
ABC30F0F,0.0,0.0,2.19
C3F0F00F,-0.004856272133999973,-2.6694,-0.8500000000000001
460FAB0F,0.0,0.0,1.7000000000000002
C30F0F0F,0.0,0.5,0.0
0F0FAB0F,0.0,0.0,0.5632699999999997
AB0F0F0F,0.0,0.7149078000586343,-2.2770000000000006
C30FC30F,0.0,0.0,2.19
C3F00FF0,0.0,-2.9644,0.0
F0C30FF0,0.4080400000000002,0.0,0.0
AB0FC30F,-0.5100000000000001,0.0,-1.19
F0FF0F46,0.0,1.4653,-0.33
0F0F0F0F,0.0,0.0,5.44143727866
0FF00FF0,-0.8500000000000001,-0.36198888518287053,1.8763078999999996
AB0F460F,0.0,0.0,-1.8732000000000004
F0FF0F0F,0.0,-1.6700000000000004,-0.6700000000000002
0F0FF0F0,2.2957292187203873,-0.1727969595925709,0.0
46F0F00F,-1.3246640000000003,0.0,0.0
C3FFF00F,0.270409884366718,-1.3107400000000002,0.0
F0F0C30F,0.0,-2.3600000000000003,-0.8399999999999999
C3460F0F,2.243354376,0.0,0.0
0F46460F,-1.19,0.0,0.0
F00FF00F,-1.576454167262,1.4273246524487393,0.0
F0F0AB0F,0.0,0.0,1.0818452006337043
0FAB0F0F,0.0,0.0,-0.452769
FF0FF00F,0.7652924687456736,0.0,0.20822802197059853
460F0F0F,-0.5200000000000004,0.0,0.0
F00FFF0F,0.5475585719927452,0.9887455295531918,-2.214837774100815
46460F0F,-1.19,0.0,0.0
C30FF0F0,0.6577558571992747,0.0,0.0
0F0FFFF0,0.0,3.14050066716139,0.0
0FFF0FF0,2.553993721459827,0.0,-0.38730999999999993
FF0F0FF0,0.0,1.1538000000000002,0.0
F0C3FF0F,0.0,-0.3977847539335255,0.0
460FF0F0,0.0,0.0,1.0155263910977355
