,action_ATK_nearest,action_ATK_nearest_weakest,action_ATK_threatening
85F0,-1.0673124142421007,0.0,-2.3600000000000003
B6C9,-2.0200000000000005,-0.8721900000000002,-0.10740000000000016
97B6,0.0,0.0,0.4282959235691197
0FF0,3.9028438662694938,-2.0200000000000005,0.0
C9B6,-0.01999999999999993,0.0,0.0
AB0F,-3.2587465101809006,-6.3468198949786,-3.879847524382715
F0B6,0.0,0.0,0.0
B6F0,0.0,0.33999999999999997,0.0
F0F0,-2.3050100000000002,-1.2998344600000005,-1.6800000000000002
F00F,-0.9458581839578509,-0.8011748664898612,-1.1325598272444786
87F0,2.9210721523671825,0.0,0.0
A7F0,-2.02,0.0,-3.04
F0A7,0.3400000000000001,0.0,0.0
C3FF,-0.9102061460392393,-2.2606522934219853,-3.903417329560554
B695,-1.3400000000000003,-1.2777870377800002,1.4725374481
4B0F,0.0,0.0,2.19
B697,-0.5960338187000003,-2.029666,0.7559117786026401
0FC3,0.0,0.0,-0.32247087168774646
ABF0,-1.428,1.0608038926486054,-1.0981393658218668
FFAB,0.0,-1.6187318345453787,0.0
C3F0,-0.25913081048867703,0.9441544692566173,-2.3600000000000003
95B6,0.0,0.0,2.3870999999999998
4688,-5.205598716877464,-6.919171893256422,-9.083743997977653
F0C3,-1.52,-0.6279315800000002,-0.2040416359115318
0F4B,0.0,0.0,1.1639512389100002
C30F,-0.8600000000000002,-0.6459850013990853,-2.0994185584530323
ABA5,0.6349362763286015,-1.3600000000000003,-2.5355852996973325
8846,-10.256033041086397,-7.629766721943804,-9.237685236890528
F0AB,-0.9682662000000003,1.7212600137676248,-1.4770929399853094
0FC9,0.0,-0.280316884981,2.47319783319
870F,-2.474280460269,0.0,0.0
FFF0,0.0,0.0,-2.594106
A1F0,0.0,0.0,-1.2248083340020002
87C3,0.0,0.0,-0.866775616681
0FAB,-1.9478880995901884,-2.9347322963467692,-1.848248
770F,0.38875535610985335,0.0,0.0
F087,0.0,0.0,0.34000000000000025
B6B6,0.0,-0.7000000000000001,0.0
46EC,0.0,0.0,-0.9154715856043419
ABFF,-0.6268574630389123,-1.6626239098195559,0.0
ABAA,-1.717035422441751,0.0,0.0
980F,0.0,1.0869106071036885,0.0
8B0F,0.0,1.0194154469256618,0.0
C90F,0.0,0.7318218421269317,0.0
FFC3,1.5517496866137213,0.0,0.0
