,action_ATK_nearest,action_ATK_nearest_weakest,action_ATK_threatening
77,-3.235169246683502,-6.465932018089017,28.03455715931384
86,-2.9055126549380548,8.763985125925002,-0.86826
76,5.592287575022705,30.441519266783587,4.50758076909696
8C,-0.22494751738494045,-0.5606608101734853,1.7547871363178247
3A,-0.39888559199354345,4.608434903170095,-0.12043482322393065
FF,17.62732398522618,-0.36010314607742544,1.4881520197007476
88,-0.11574726283517278,6.4241486022605825,-2.4356861489498924
9B,9.441350393741486,-0.6655351247269021,-1.5441000000000003
69,9.007380038131494,-1.3500000000000003,-0.6974432437054454
89,0.0,0.6420705953852179,11.325961349318234
A9,11.601525936590821,0.9032517693767217,1.675286148406739
78,-1.3673628650863385,-1.497299814351905,5.557392940248784
87,-0.47928786312875465,9.26578636255535,2.025839441722904
C9,-0.7352458435357332,13.0422365841243,5.453354891594827
C3,5.222019808120095,3.390291534641132,11.811289969951654
95,0.28929888690759326,14.719554850594141,4.7178304638998165
7C,0.0,1.68726113,0.0
6A,-0.7552836673415075,10.773696965948366,-1.128895825693912
F0,7.089049167908351,11.620692039125785,6.741927158291025
0F,10.671780395042916,2.4172742145140287,5.371894802219521
X,13.784660814014511,9.21360861626584,10.902672954890035
terminal,0.0,0.0,0.0
99,14.306455344439067,-0.4737414963801545,-1.858090738616225
B6,10.956616692257032,0.0,-1.4692761768246858
46,2.5026738962945045,10.13603408649611,-0.4580405038792281
94,0.27946030378126385,9.020014218515577,-1.0968451068107277
98,-1.0849802466442688,10.488684206147484,-1.8219667956647636
EB,2.0339241459348596,-1.464039975631324,3.516831490280407
AB,2.629319595497421,21.78337389479795,1.9112040484274015
BB,16.24594650783101,0.0,-0.9938150233669427
8A,1.0875721021648865,15.08852344825881,1.1870019581282722
68,-0.7376470257999999,13.375606023490828,-2.0065
97,-1.3362754198282025,-2.4146779597025456,10.473961729667762
7A,13.195651114520006,-0.3520646944502419,-1.17
7D,0.0,0.0,2.175930408155845
7B,-0.8623681813992173,2.922820545906401,0.0
0A,0.7352450290477612,0.8773428708392171,9.682161176017445
6D,0.0,8.924626669608351,0.0
5A,-0.8342561545692675,20.66042952314928,0.16933397767281422
4A,13.243906597898679,1.3399999999999999,-0.010465485970136856
B4,0.0,-0.51,0.2423807899614555
8B,-0.12418216172214236,17.249089944530535,-0.6941101848829379
A5,-0.7847509820000003,14.332426540097565,-1.0961384731094264
79,-1.4256215100092255,10.35900133449969,1.3870684264293036
A8,0.0,6.395987010755119,0.0
66,2.9601902948309733,12.333150344877156,1.8652073679177184
96,9.676343444260118,-0.7983900429387345,-1.321162007534605
9A,2.677722230084181,-1.9095809091515026,-1.4332448750733453
9D,0.0,0.0,-0.5762147490056472
85,0.0,0.0,-0.21641263754475815
2A,0.0,0.0,2.824135382615074
67,3.4013344614109906,-1.995458154005242,-1.935761511420713
59,4.0085546721522896,-3.34179179812214,-3.071015863461099
B9,1.020251606441163,0.0,-1.6712871408929342
4B,3.9926951364456107,-0.5904051443715328,-0.5657634542662192
5B,6.041195973844635,0.0,-0.014591646990592233
A6,-2.7496797950829475,-1.3268342279080325,7.721686053038699
6B,0.0,2.290968823587004,0.0
5C,-0.3633071389672489,0.0,2.1065390760810034
5D,0.0,0.0,-0.2474189477690456
B7,0.0,0.3400000000000001,-0.6700000000000002
DD,0.0,0.0,-0.30966150774271384
48,0.0,0.0,0.6739291271419345
C8,1.0762315555941047,-0.43127094293200496,0.0
AC,0.31870474773829377,-0.933,0.0
F5,0.0,0.0,2.0645755086779487
6C,7.052853471537509,-0.51,1.1427016694615444
A7,4.554081647417532,0.0,0.0
AA,0.0,0.0,4.09433192959813
B8,-1.01,0.8478965250227576,0.0
72,0.0,1.2190600330813766,0.0
49,0.0,3.3288061012603958,-0.3387206166447203
BD,0.0,-1.5248630229696218,2.1728646379626735
4C,0.0,0.0,7.210071890041817
3B,0.0,-0.7224979503495145,0.0
9C,0.0,0.0,3.55341962978362
CC,0.0,2.2780806568075054,0.0
BC,0.0,-0.431442288556488,2.423773367853176
