,action_ATK_nearest,action_ATK_nearest_weakest,action_ATK_threatening
C90F,0.0,0.3055444705579644,0.0
F00F,-0.1875237378192588,-1.3938218207441389,1.316740912423372
ABF0,-0.7037643684729402,-0.8189761797752357,-0.540386469073376
0F0F,-0.5602814473717326,-1.3399999999999999,-1.4047
FF0F,-2.638526803179577,-3.1773524751164017,-2.483059076530395
0FF0,-0.6235772488162135,-0.8016840576862243,-0.680084198455253
0FFF,-1.206,-0.8600000000000002,-0.7182819800876358
94EB,-2.623359669938898,-0.9897560588810084,-0.68423916253924
F0AB,0.0,3.657845046520917,-0.10137972299999994
AB0F,0.9497542211419667,-1.5568,-0.03781167713113298
46F0,0.0,-0.8818580705987054,-0.6053570946663576
EB94,-0.4043720142898173,2.486709447544613,-0.3551188642004689
0F0A,0.0,0.009999999999999966,0.0
C3F0,0.0,2.7848487739167753,-2.240609976497832
F0F0,-3.871977478316037,0.9470130801067635,-4.130975121964219
970F,2.84,0.0,0.0
C30F,0.0,1.5100979148827667,0.0008018999999999974
980F,-0.5341000000000001,-0.7484623477714434,-0.0033629534687702745
870F,-1.4524324646749351,0.0,-1.2765000000000002
F046,0.0,0.0,-0.3126845705874964
0FAB,-0.7232000000000002,-0.18662226107322488,0.0
FFF0,0.0,0.036826220514786234,0.0
D9C3,3.120948814442631,0.0,0.0
0FC3,0.0,0.5654468442903529,0.0
460F,-0.9110659366288002,-0.7835875355,-1.1739464471162275
F0C3,0.0,5.809005266119193,0.0
FFFF,0.0,0.0,-0.505487534666164
terminal,0.0,0.0,0.0
950F,0.0,1.4094046014351873,-0.0784675439000001
F0FF,0.02131663338574538,-2.443532479115024,-1.4005266901751574
BB0F,0.0,0.0,-0.9015481258376566
0F95,-1.2980503251026754,-0.7278594557219171,0.0
C3D9,0.0,0.0,0.5204678746862698
0A0F,0.0,-1.0565399999999998,0.0
