,action_TFC_finish,action_TNC_finish,action_greedy,action_noise
0090000F2106000F2106000F,0.998284569377575,-40.8033171450651,-23.158339908849324,-57.74741081879098
0630000F2060000F2060000F,5.168584799955206,-0.3635826884623068,-2.362344292438767,0.18293341398944363
0520000F2060000F2060000F,9.785875080045178,-6.459537544280279,-0.10456602988151387,-0.7070484296291719
0520000F2050000F2050000F,29.84635246659079,-55.36395989933105,-21.732665078274028,-39.63551282791488
0091000F3106000F3106000F,-2.6868234872817993,-8.110936645756738,-5.076624205039089,5.726578505341727
0090000F3106000F3106000F,0.0,0.0,0.0,6.431098937988281
1093000F3208000F3208000F,-13.157501220703125,-12.0,-3.419770122397459,-9.582338736836274
1093000F3109000F3109000F,-3.0,0.0,-4.5,7.569343907689715
1083000F3207000F3207000F,-10.5,-14.991167284352233,-6.396683417521617,3.3783386820251344
0080000F2050000F2050000F,-1.9424645726591567,-6.8321830574098925,-6.0,4.682160504653529
1081000F2106000F2106000F,-6.75,-15.75,3.747089006507336,-5.905562903489703
0080000F2106000F3006000F,0.0,0.0,0.0,3.75
1081000F3106000F3106000F,-10.5,-9.132387863918535,2.994171523659678,-10.196048560298493
1082000F3207000F3207000F,-1.5,-10.899182215332985,-1.5,-7.435546875
0083000F3207000F3207000F,-2.8652394711971283,-4.5,-3.0,-6.75
0093000F3207000F3207000F,-2.9924042572280003,-10.20703125,-13.658338735883717,2.506213388272796
0081000F2206000F2206000F,5.609723906152341,0.0,0.0,0.0
0091000F2206000F2206000F,0.0,0.0,15.816401047070064,56.47090258299414
0621000F2206000F2206000F,0.08900281481514327,25.834473152834235,0.4339599609375,-1.2999214720784522
A200000F2207000F2207000F,-8.431986720813983,-11.343811725159462,-10.537715658114974,-0.6639935371884005
terminal,0.0,0.0,0.0,0.0
0091000F2107000F2107000F,-11.249210973051817,-81.9075622473481,-80.51681189164486,-67.4604938921046
0631000F3106000F3106000F,2.73793060522289,0.0,6.75,19.863454076002938
00B3100F3308000F3308000F,-7.125,0.0,3.0687958481963475,-0.5869389474207483
10A5200F3400A00F3400A00F,-8.82484674166207,-6.0,0.10769275847690629,-4.5
00A2100F4200900F4200A00F,0.0,-3.0,3.0,0.0
00A2100F4200A00F4200A00F,0.0,0.0,3.0,0.0
00B3100F3300900F3300900F,-8.603012802317316,-6.5752375460206505,-5.459882730007366,-0.0275448303495176
00A2000F3108000F3108000F,0.0,-6.0,3.301873379276366,0.29202539588917453
00A3000F3109000F3109000F,-4.642050091958331,-2.105181893360108,-0.20641150275021092,-2.9130136551846553
00A2000F3107000F3107000F,-25.87991567439778,-9.0,3.8714900991374233,-4.5
1094100F3300A00F3300A00F,-4.386228394595537,-4.489703634910391,-1.1956130996487162,-1.1863860859448603
