,k_means_000,k_means_050,k_means_100
00A2000F200A000F200A000F,-10.632038195129065,-14.910929467219596,-5.017038565856684
0092000F200A000F200A000F,-0.49218833234240145,2.7741622012913285,-1.3274657268557777
00A1000F2009000F2009000F,-1.4160294522080872,-1.2000000000000002,1.30333207680325
0092000F2009000F2009000F,2.169237455894286,-0.9,-0.6000000000000001
0093000F200A000F200A000F,1.2390389448493004,-0.6000000000000001,-1.1362530897503402
0093000F3009000F3009000F,-1.3449633680888606,2.30241211388997,-0.3919676240204634
B100000F2009000F2009000F,0.0,0.30000000000000004,0.0
A200000F2109000F2109000F,0.0,0.0,2.4304160039033658
8510000F3208000F3208000F,0.0,9.155904134357948,0.0
A200000F2207000F2207000F,3.6800137589616124,4.449049057962809,3.7363704194866516
D000000FD000000FD000000F,-1.674685522788745,-1.7114211415789755,-1.7098334429727051
terminal,0.0,0.0,0.0
00A2000F200B000F200B000F,-2.106833401460211,-4.607911599951719,3.1671926842820373
000E000F200B000F200B000F,-1.6006533451573044,-2.2800000000000002,-0.00040546196488194797
000E000F200C000F200C000F,-0.692274387974912,-0.5780038678665627,-1.0584093562260382
000E000F200C000F200B000F,0.0,0.0,-0.30000000000000004
00B3000F300B000F300B000F,-1.1106940662365659,0.0,1.52982636458415
00B4000F300B000F300B000F,-1.8590049580602457,-2.8632341729571102,3.1365665862096166
00A4000F210B000F210B000F,0.0,0.0,0.9726281869812142
00B4000F3100B00F3100B00F,-0.30000000000000004,0.0,0.0
00A5000F310A000F310A000F,0.0,4.35,0.0
9410000F320A000F320A000F,0.0,0.0,0.0
D330000F3300D00F3300D00F,0.0,0.0,1.095637280722581
00B2000F200B000F200B000F,3.193773014525939,-0.6327942212077844,-0.9
000F000F200C000F200C000F,0.0,4.0759217335444955,0.0
000F000F300C000F300C000F,-1.2000000000000002,3.3032767250782595,1.4190219012559684
000F300D3200F00F3200F00F,0.0,3.9000000000000004,0.0
7000000F2050000F2050000F,0.0,0.0,0.0
7100000F2060000F2060000F,0.0,0.0,0.0
8200000F1107000F1107000F,0.0,0.0,1.8540985566930002
000D000F200B000F200B000F,-0.6000000000000001,0.0,8.594636769805172
00B5100F3200B00F3200B00F,1.6372415542813408,-1.400032640392521,-2.719621753829247
B000000F2009000F2009000F,10.029814485108606,3.6,0.0
A000000F2008000F2008000F,1.8,0.0,0.0
3000000F0300000F0300000F,0.0,0.0,3.2890467724083012
C000000F200A000F200A000F,1.5749049527897032,4.551853197900446,20.65367767330401
B000000F200A000F200A000F,7.341482098434719,0.0,0.0
D100000F300C000F300C000F,0.0,0.0,0.862882039839683
0092000F100A000F100A000F,-0.6329137440191448,0.8516865500754598,-1.8246123244797794
000F300E3300E00F3300E00F,0.23558749637651719,2.7802552396940667,0.0
0096000F3209000F3209000F,0.9549115803866866,0.0,-0.9963428163822889
000C000F100B000F100B000F,2.1580828386350914,1.2296893283793038,4.41299152281821
00A1000F100A000F100A000F,1.138964015906372,12.809422293448867,0.0
0092000F1009000F1009000F,6.08867704003367,2.293251658867574,0.0
000F300F3000F00E3000F00E,0.0,0.0,0.4343119445801953
000F100F3000F00F3000F00F,1.4469250314052484,-0.10535700000000003,-0.30000000000000004
000F000F3000D00F3000D00F,-0.2701979657707992,-1.7477936700254502,-0.9
000F100F2200C00F2100C00F,-0.8955752712262219,-0.30000000000000004,-0.9325109747287559
00C4100F2200C00F2200C00F,-2.042547712766555,1.4040201112093111,-1.9795198944329486
0095000F220A000F220A000F,-1.1552661035359375,3.769335650663437,-1.7789477517296117
0622000F2106000F2106000F,1.8458895389271712,0.0,0.0
000C000F000B000F000B000F,3.0217037172718513,0.43542470424313345,0.157053986827223
0080000F0070000F0070000F,-0.2581413671294753,-2.1236074259653854,0.45330730344421216
0070000F0070000F0070000F,-0.5866049265377465,-1.035197309842798,-0.4907203139960707
0070000F1060000F1060000F,-1.2570000000000001,0.0,1.0060517397075535
000B000F100A000F100A000F,0.0,6.322069976622578,0.0
0091000F1009000F1009000F,1.105649934006935,3.060360151445021,0.5201618261401395
0090000F2060000F2060000F,-2.321216034458983,0.09811540378263348,-1.9359550801556356
0520000F2050000F2050000F,0.48866327341131954,-2.9088984282425954,-1.0263507014780822
C000000F100B000F100B000F,0.0,4.647160822002201,0.0
D000000F200B000F200B000F,0.0,0.0,11.900903551028696
E000000F200C000F200C000F,13.504440911191397,1.100202111417497,0.0
000D000F100B000F100B000F,9.14762432067154,0.0,0.5424376620504326
A000000F1008000F1008000F,2.240438329699006,0.0,0.0
F100000F2000E00F2000E00F,0.0,0.9,0.0
7000000F1060000F1060000F,0.0,2.036181682362915,0.0
000C000F000C000F000C000F,-7.381104695023751,-1.6714856501499256,-6.593204947157083
00A2000F100B000F100B000F,5.2667251589973905,-0.4330312261368485,-0.32637160276338295
E000000F100C000F100C000F,0.0,7.101519105701007,0.0
C000000F100A000F100A000F,0.0,7.974448106944137,0.0
C000000F200B000F200B000F,0.0,0.0,8.506195104552072
D000000F200C000F200C000F,0.0,0.0,4.958149628857278
F200000F3000E00F3000E00F,0.0,0.0,0.6582950303717
00A2000F100A000F100A000F,-0.6478357748450171,7.500085374165863,-0.30000000000000004
000F000F200D000F200D000F,0.21125695411119516,-0.429761439334992,3.257606414515074
000F000F2200C00F2200C00F,-0.07381996033097675,-0.03569929435279423,-0.1152096984168385
00C4000F2200C00F2200C00F,-1.0208958221290652,-1.1108131463474935,-1.3868215148156817
000D000F100C000F100C000F,5.4993877734885075,0.0,2.017589467252991
000B000F000A000F000A000F,0.0,2.862193900775248,-2.23485081207
0070000F1050000F1050000F,-0.02999999999999997,0.0,-1.9409411515809762
0500000F0500000F0500000F,-2.332060539980125,-4.103379678617893,-2.443736629775984
0060000F0060000F0060000F,-3.2349144429392833,-2.8507873882066135,-2.521052268441661
0090000F1080000F1080000F,-1.0593378318555413,-2.4000000000000004,1.933119119849894
0090000F1070000F1070000F,-0.9421270161232604,-1.5012854485562097,0.26291622983858653
0630000F1160000F1160000F,0.0,0.0,2.037344940844866
0090000F1008000F1008000F,1.2228589922583908,-0.1185986153127887,-0.32283481850727164
0400000F0400000F0400000F,-2.38392542463354,-2.962033174493116,-1.0583222366356138
000F200F2200E00F2200E00F,0.5896175250793375,-0.30000000000000004,-0.30000000000000004
000F400D4300F00F4300F00F,5.155120624527708,0.0,-0.09159483294726278
00C5200F4300D00F4300D00F,-3.62340461908299,-5.638446571056279,-4.751408268082725
00A1000F1009000F1009000F,-3.4357486966651423,-0.5757,12.254729287158955
D100000F200C000F200C000F,0.0,0.0,1.6163870519570898
6000000F1050000F1050000F,2.5835580663261974,0.0,0.0
0000F00A2000F00C2000F00C,0.0,0.0,1.1414056318310632
0000F00D0000F00D0000F00D,-0.3413834311211711,-1.920682535418996,-1.0878347841459715
0000F00B0000F00B0000F00B,-4.328304949705225,-3.121102956972512,-3.7750131344218802
0000F00C0000F00C0000F00C,-3.1045266066675445,-3.193481013429933,-2.3724186235993963
0000F00F0000F00F000F000F,0.0,0.03690177165487953,0.0
000E000F000E000F000E000F,-3.9199595837206704,-3.869746138496139,-4.340571386491231
1000F00C1000F00C1000F00C,0.0,0.0,0.0
0000F00F0000F00F0000F00F,-0.8749479638528118,-2.357554742063727,-1.1704330925333941
000F000F000F000F000F000F,0.29669325643208555,-3.1357829517448863,-2.141777103936961
000F100F1000F00E0000F00E,0.0,0.0,0.6186321794495249
