action_TFC_000,action_TFU_000,action_TNC_000,action_TNU_000,action_TFC_025,action_TFU_025,action_TNC_025,action_TNU_025,action_TFC_050,action_TFU_050,action_TNC_050,action_TNU_050,action_TFC_075,action_TFU_075,action_TNC_075,action_TNU_075,action_TFC_100,action_TFU_100,action_TNC_100,action_TNU_100
0.0,-10.5,0.0,0.0,-7.5,19.5,0.0,0.0,-7.5,-1.5,-1.5,0.0,0.0,10.5,0.0,0.0,0.0,0.0,0.0,15.0
-1.4625,-13.969190046788409,4.61664357068755,1.4512500000000004,-5.4,9.78285256592245,12.07437515625,1.93265625,-1.9131248437499995,-6.486583934883749,-2.325,1.7084499664738693,-0.725263128515625,14.052678740001813,2.5398121068620485,1.2176206450670164,-0.11221832486018402,-0.15639079999809202,3.5982479787722674,12.004200273175968
-5.677878387090587,-35.18138200211773,4.204984404734793,-3.0656282724999233,-1.0146937500000002,32.337547517958825,14.516452219458571,10.700528525429931,13.21842146481362,-13.164237094110854,2.5608317365723243,5.641310733732569,3.1806102599152677,32.00227787036197,23.31559731644017,0.7040664177617435,9.131716436342451,-3.502200411744876,13.844667507427454,28.93170027317597
-7.923464508446273,-40.47293575230438,-10.249831209077785,-4.336562097581651,71.85377765443839,39.978517661362666,40.90568327548283,28.89557894085544,-9.850623306857912,-7.452440657501234,4.114609042202526,16.015608285509426,15.423377043306305,25.18016338557174,18.999307046535595,12.241691933781125,17.437140009755048,-3.574138218597935,-8.275706481958679,35.87474673242509
-12.998300146902729,-13.23633129281568,-0.6101843408634209,-20.174506935080252,75.53472669460268,67.92566553064381,44.22924815831373,41.59322240353163,-7.903191279513143,-2.1874167874982176,-17.438255356438887,7.3586433941027956,25.100384999598788,43.96965846865723,20.592943102469267,17.355203232394196,18.597343134755047,-2.7588870932612353,11.474721500034233,37.73094897013557
-22.125816408967474,-12.364526557492393,1.2828492379293959,-14.977174087233967,52.246766903655356,51.006238467305565,61.93833270014114,37.08852956856936,-2.647876070095265,26.35396606620108,-22.40802679008705,18.6642827200978,28.03029124395436,44.83481210207576,24.689718501091054,28.825972903718373,40.912849134840954,-4.14294498592435,22.66540531534696,30.063113092291502
-40.9478053240044,-3.6046425797111787,0.5483948162263594,-15.86123088346573,56.316595181915915,74.03321687403741,58.10668094313475,39.7739841614339,26.423050244794027,35.425180290187896,-21.204567522378944,22.12791366033098,47.0968535551633,43.125359278952,27.155399339982985,29.751712093002183,35.485904133373865,3.984848061941049,13.523249954026273,31.147912116199905
-25.42085009270581,-10.03642529388317,-16.587864468693088,-13.982381941981917,44.75386363401926,84.88280113536939,46.50978913507716,55.45847395089086,33.95807339638979,38.67867122650557,-6.109488406455082,32.03732350095783,61.58222528828881,48.017604756475535,29.218888363558285,33.353349870391725,50.715953761130244,10.098100264321236,7.345143712988021,54.55597574549765
-29.975297435133065,-4.297974734687518,14.206791957990731,-8.970000004808988,51.54910641583317,84.2817923795389,65.3534595680696,74.77668751245534,43.81843947842046,44.294602175658895,11.143404177683754,35.71993303501275,54.8675605235142,44.02209216009797,29.408785237458943,49.83936688656833,50.963816472736546,-13.189723718619687,13.461900834720822,68.7270744604102
-29.233682093446273,-6.9476909353909875,46.11733412241595,-6.532495902617589,46.75337961706867,90.49840828037964,79.8993538051065,90.28491524636048,30.85910147489786,47.65744914456987,30.451196548532444,25.69570098919895,34.48436968874358,38.23707791414312,41.84466858116894,52.9146434029083,63.193066077145446,-1.1350080756973409,-2.2469402509493226,67.4030613780241
-31.52681066413292,-6.913618989636589,11.039028282554874,-12.730252290790082,43.829136868589345,91.28396021368782,81.75897469553442,90.35950367993873,52.42115322037449,82.04614239023245,39.02596876853688,26.78872284949329,40.76131837393407,54.87611721919031,39.42726358539552,56.172117666350175,75.56259916155173,25.87479939296427,-4.888000778881596,84.60782906509738
