,action_TFC_finish,action_TNC_finish,action_noise
"(4, 4)",13.127640578146993,-10.572996602735127,-14.747908382488706
"(4, 3)",16.725497120988756,-14.677140114781071,-18.21345479973685
"(4, 2)",14.132586472182135,-7.408228894329721,-13.267052044563531
"(4, 1)",6.743066336007449,-2.68354079303234,-6.605838822312304
"(4, 0)",0.9878160028142557,0.005894868550519872,0.0014221509761737578
terminal,0.0,0.0,0.0
"(3, 2)",4.180834146023114,-10.157958313007946,-13.985500381206737
"(3, 1)",10.647077219805507,-4.327134871933083,-9.68080348102123
"(3, 0)",8.769619388178282e-05,0.0005787197961921548,0.004105223803460977
"(3, 3)",13.267594421223258,-18.53662923010208,-18.852388724823864
"(2, 3)",15.722383129461688,-15.488000000000001,-14.961294390749286
"(2, 2)",-4.420323447048408,-4.296929210118407,-8.51853190601964
"(1, 2)",-2.9412240887750007,-8.48,-5.76
"(0, 2)",0.0,0.6306755820795584,0.0
"(2, 1)",3.4686285801448213,-3.336510777597173,-1.1245357496190698
"(2, 0)",0.001024974356293699,0.0013494915786594103,1.1004287811600473
"(3, 4)",8.463147064500383,-19.6694859776,0.0
"(1, 3)",-1.9999658898160382,-3.2,0.0
"(0, 3)",0.07747277219331289,-1.6,0.0
"(1, 1)",-3.3983960095216696,-4.800000000000001,-5.211649095426443
"(1, 0)",0.0,0.654905223474584,0.0
"(0, 1)",0.0,0.916779064554545,-0.1827794789225127
