(1, [(56, 62)], 0.0, 1.0)
(1, [(56, 64)], 0.0, 1.0)
(1, [(54, 62)], 0.0, 1.0)
(1, [(54, 64)], 0.0, 1.0)
(4, [(56, 62), (56, 64), (54, 62), (54, 64)], 1.0, 0.0)
(4, [(55, 62), (55, 63), (54, 62), (54, 63)], 1.0, 0.0)
(1, [(55, 62)], 0.0, 1.0)
(1, [(55, 63)], 0.0, 1.0)
(1, [(54, 63)], 0.0, 1.0)
(2, [(55, 62), (55, 63)], 1.0, 0.0)
(2, [(54, 62), (54, 63)], 1.0, 0.0)
(3, [(55, 62), (55, 63), (54, 62)], 0.8, 0.23)
(4, [(55, 62), (55, 64), (54, 62), (54, 63)], 0.7, 0.42)
(1, [(55, 66)], 0.0, 1.0)
(3, [(55, 62), (54, 62), (54, 63)], 0.8, 0.23)
(3, [(55, 63), (54, 62), (54, 63)], 0.8, 0.23)
(4, [(55, 63), (55, 66), (54, 62), (54, 63)], 0.45, 0.58)
(2, [(55, 63), (54, 62)], 1.0, 0.0)
(4, [(55, 62), (56, 64), (54, 62), (54, 63)], 0.64, 0.48)
(2, [(55, 62), (54, 62)], 1.0, 0.0)
(2, [(54, 62), (54, 64)], 1.0, 0.0)
(2, [(56, 62), (56, 64)], 1.0, 0.0)
(2, [(56, 64), (54, 64)], 1.0, 0.0)
(2, [(56, 62), (54, 62)], 1.0, 0.0)
(3, [(56, 62), (56, 64), (54, 64)], 0.8, 0.23)
(3, [(56, 62), (56, 64), (54, 62)], 0.8, 0.23)
(2, [(55, 63), (54, 63)], 1.0, 0.0)
(3, [(55, 62), (55, 63), (54, 63)], 0.8, 0.23)
(1, [(56, 63)], 0.0, 1.0)
(2, [(55, 62), (54, 63)], 1.0, 0.0)
(3, [(56, 62), (54, 62), (54, 64)], 0.8, 0.23)
(3, [(56, 64), (54, 62), (54, 64)], 0.8, 0.23)
(2, [(54, 62), (56, 63)], 1.0, 0.0)
(2, [(55, 63), (54, 64)], 1.0, 0.0)
(2, [(55, 62), (54, 64)], 1.0, 0.0)
(3, [(55, 63), (56, 64), (55, 63)], 0.65, 0.71)
(3, [(55, 63), (56, 64), (54, 62)], 0.29, 0.42)
(2, [(56, 64), (54, 62)], 1.0, 0.0)
(2, [(56, 62), (54, 64)], 1.0, 0.0)
(3, [(55, 62), (54, 62), (54, 64)], 0.74, 0.44)
(1, [(55, 65)], 0.0, 1.0)
(4, [(55, 63), (55, 65), (54, 62), (55, 63)], 0.35, 0.66)
(4, [(55, 63), (55, 66), (54, 63), (54, 63)], 0.51, 0.69)
(2, [(56, 64), (54, 63)], 1.0, 0.0)
(3, [(55, 62), (55, 63), (54, 64)], 0.56, 0.45)
(4, [(55, 63), (56, 64), (54, 62), (55, 63)], 0.0, 0.65)
(2, [(56, 64), (55, 63)], 1.0, 0.0)
(3, [(55, 63), (54, 62), (55, 63)], 0.65, 0.71)
(4, [(55, 63), (56, 64), (55, 63), (55, 63)], 0.42, 0.76)
(2, [(55, 63), (55, 63)], 1.0, 1.0)
(2, [(56, 62), (55, 63)], 1.0, 0.0)
(3, [(55, 63), (55, 65), (55, 63)], 0.65, 0.71)
(3, [(55, 63), (54, 66), (54, 63)], 0.7, 0.53)
(1, [(55, 64)], 0.0, 1.0)
(1, [(53, 66)], 0.0, 1.0)
(2, [(55, 64), (54, 63)], 1.0, 0.0)
(4, [(55, 62), (55, 63), (54, 62), (54, 64)], 0.7, 0.42)
(3, [(55, 62), (54, 63), (54, 62)], 0.8, 0.23)
(2, [(54, 63), (55, 65)], 1.0, 0.0)
(3, [(55, 62), (54, 62), (55, 66)], 0.68, 0.57)
(3, [(55, 63), (54, 63), (56, 66)], 0.67, 0.56)
(2, [(55, 64), (54, 64)], 1.0, 0.0)
(1, [(53, 63)], 0.0, 1.0)
(3, [(54, 62), (54, 63), (53, 63)], 0.8, 0.23)
(3, [(55, 62), (54, 62), (55, 65)], 0.7, 0.53)
(2, [(54, 62), (53, 63)], 1.0, 0.0)
(4, [(55, 62), (54, 63), (54, 62), (54, 64)], 0.6, 0.45)
(2, [(54, 63), (54, 64)], 1.0, 0.0)
(3, [(55, 63), (55, 63), (55, 63)], 1.0, 1.0)
(3, [(54, 65), (56, 64), (54, 63)], 0.95, 0.1)
(3, [(53, 65), (56, 64), (54, 63)], 0.8, 0.23)
(1, [(52, 66)], 0.0, 1.0)
(3, [(52, 66), (56, 64), (54, 63)], 0.74, 0.4)
(3, [(55, 63), (55, 63), (54, 63)], 0.65, 0.71)
(2, [(54, 62), (54, 62)], 1.0, 1.0)
(3, [(56, 64), (55, 63), (55, 63)], 0.65, 0.71)
(3, [(54, 62), (54, 62), (54, 62)], 1.0, 1.0)
(3, [(54, 62), (54, 62), (54, 64)], 0.65, 0.71)
(3, [(55, 64), (55, 63), (54, 63)], 0.8, 0.23)
(1, [(53, 62)], 0.0, 1.0)
(2, [(54, 63), (53, 62)], 1.0, 0.0)
(4, [(54, 62), (54, 63), (54, 62), (54, 64)], 0.53, 0.72)
(3, [(55, 63), (55, 64), (54, 63)], 0.8, 0.23)
(3, [(55, 63), (54, 63), (55, 63)], 0.65, 0.71)
(4, [(57, 61), (56, 63), (55, 62), (55, 63)], 0.64, 0.48)
(4, [(55, 62), (54, 63), (54, 62), (55, 65)], 0.53, 0.55)
(2, [(55, 64), (54, 62)], 1.0, 0.0)
(3, [(54, 62), (54, 62), (55, 66)], 0.65, 0.71)
(2, [(54, 63), (54, 63)], 1.0, 1.0)
(3, [(56, 63), (54, 64), (55, 63)], 0.56, 0.45)
(2, [(56, 63), (54, 64)], 1.0, 0.0)
(4, [(54, 62), (54, 63), (54, 62), (55, 65)], 0.4, 0.73)
(4, [(54, 62), (54, 63), (54, 62), (56, 66)], 0.41, 0.74)
(3, [(54, 62), (54, 62), (56, 66)], 0.65, 0.71)
(3, [(55, 63), (55, 64), (55, 63)], 0.65, 0.71)
(3, [(54, 62), (55, 63), (54, 63)], 0.8, 0.23)
(3, [(54, 62), (54, 62), (55, 65)], 0.65, 0.71)
(3, [(54, 63), (54, 63), (56, 65)], 0.65, 0.71)
(1, [(58, 66)], 0.0, 1.0)
(2, [(55, 63), (55, 64)], 1.0, 0.0)
(4, [(55, 63), (55, 65), (55, 63), (55, 63)], 0.42, 0.76)
(1, [(54, 66)], 0.0, 1.0)
(3, [(55, 63), (52, 66), (54, 63)], 0.64, 0.59)
(3, [(55, 64), (56, 64), (55, 63)], 0.8, 0.23)
(4, [(54, 62), (54, 62), (54, 62), (55, 65)], 0.42, 0.76)
(3, [(54, 64), (55, 63), (54, 63)], 0.8, 0.23)
(3, [(55, 62), (54, 62), (54, 62)], 0.65, 0.71)
(3, [(55, 63), (56, 62), (55, 63)], 0.65, 0.71)
(2, [(56, 63), (55, 63)], 1.0, 0.0)
(4, [(56, 62), (56, 63), (55, 63), (55, 63)], 0.77, 0.61)
(3, [(56, 63), (55, 63), (55, 63)], 0.65, 0.71)
(3, [(56, 62), (55, 63), (55, 63)], 0.65, 0.71)
(1, [(57, 65)], 0.0, 1.0)
(2, [(56, 63), (54, 62)], 1.0, 0.0)
(3, [(54, 62), (54, 63), (56, 65)], 0.61, 0.56)
(3, [(54, 65), (56, 64), (55, 63)], 0.83, 0.31)
