,action_ATK_nearest,action_ATK_nearest_weakest,action_MIX_lure,action_MIX_gather
B6B6,-5.7873011743166005,-6.554732245415787,-3.516755645527773,-5.621336424400001
B697,0.0,-0.32700923500000134,-2.0169403194870656,0.0
AB0F,-2.7835267723773933,-3.1238346779594526,-4.501545816389328,-4.148712268771033
95B6,-2.04,-3.2807050675169056,-2.707765969270505,-1.6800000000000002
9587,0.0,0.0,1.0721901534999998,-2.7
85F0,-6.269020104091089,-6.626284054473423,-4.841434518099549,-6.163364015296933
B695,-3.6289077000000005,-2.604568606460539,-3.3658065833535646,-2.5827233132510115
97B6,-3.3855707918465003,-4.451215,-3.9593406481706275,-3.7789509999999997
C387,-2.4941009127888827,-2.849674568151099,-2.679279500000001,-1.512
F00F,-6.632938928499429,-4.7932634,-4.524333185019613,-4.4454709999999995
0FAB,-1.6163934500000006,-2.7,-2.9791919668975497,-1.3399999999999999
F085,-2.02,-3.1488811913,-2.1702686975073244,-2.923499341081582
F0B6,-0.11425000000000018,0.0,0.0,0.0
C9B6,-1.3271158614600003,-1.381569486614,-1.7373179399999998,-1.6800000000000002
C30F,-2.0200000000000005,-2.3521542066289594,-1.99075,-3.04
B6F0,0.0,0.0,-2.0200000000000005,0.0
B6C9,-4.560244764194037,-4.174173734494728,-4.904287897500001,-4.671098233999199
980F,0.0,-0.6699999999999999,0.0,0.5
940F,0.0,0.16000000000000003,0.0,-0.6800000000000002
87F0,0.0,0.05135857248902154,0.0,-1.3400000000000003
0F97,0.0,0.18148500000000004,0.0,0.0
87C3,-3.06149854190036,-3.8040000000000003,-3.9980860646053915,-5.420798086128531
A7F0,-1.7334993122285085,-2.3784181095259997,-4.954708408985734,-3.623210883371033
F0A7,0.08023264000000024,-0.03878999999999999,0.0,-0.03295999999999979
0F87,0.0,0.0,-2.08950346177834,0.0
8795,-2.3294,-1.4440000000000004,-1.341625925018208,0.0
0FF0,-0.775026382285088,-1.34,-2.1623528000000003,-1.2788000000000002
FFF0,1.9468784999999997,-2.633288207369457,0.0,-1.4257638149999998
F0FF,-0.6149200000000001,-2.243614,-2.929262628465,0.0
C90F,-2.4806000000000004,0.0,0.0,-0.0778501174316598
46F0,0.020820656615579438,0.0,0.0,0.0
ABF0,-2.02,-2.3424233066019005,0.0,0.0
0F98,0.0,0.0,0.0,-0.26255466201583444
5A0F,0.0,0.0,0.0,-1.817392
8B0F,-1.5504000000000002,-2.1712000000000002,0.0,0.0
0FC3,-1.9706593000000003,0.0,0.0,0.0
7CF0,2.31437629146,0.0,0.0,0.0
870F,0.0,0.0,0.0,1.8939020155512936
A1F0,0.0,-2.5107154877444238,0.0,0.0
